;Addr;S_OLD;S_NEW;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR;U_DC_1;I_DC_1;P_DC_1;U_DC_2;I_DC_2;P_DC_2;U_DC_3;I_DC_3;P_DC_3;U_AC_1;I_AC_1;P_AC_1;U_AC_2;I_AC_2;P_AC_2;U_AC_3;I_AC_3;P_AC_3;COS_PHI;;;;
;;;;V;A;W;V;A;W;°C;Wh;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;;;;;
05:14:57;3;1;3;117.8;0.00;0;221.4;0.00;0;14;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:16:34;2;1;3;319.5;0.00;0;219.3;0.00;0;14;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:17:27;3;3;1;226.9;0.01;2;221.1;0.01;2;15;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:19:04;2;3;1;239.6;0.02;4;219.0;0.02;4;14;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:19:30;4;1;3;289.0;0.00;0;220.1;0.00;0;14;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:20:31;3;1;3;310.8;0.00;0;221.6;0.00;0;15;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:22:06;2;1;3;334.1;0.00;0;219.6;0.00;0;14;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:22:47;1;1;3;303.1;0.00;0;221.8;0.00;0;14;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:33:01;3;3;4;199.9;0.46;92;221.2;0.40;88;15;4;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:33:28;4;3;4;199.9;0.46;92;220.8;0.40;88;15;4;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:34:02;2;3;4;199.8;0.48;96;219.1;0.42;92;15;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:34:31;1;3;4;221.4;0.42;94;221.5;0.41;90;15;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:34:39;1;4;3;221.1;0.43;95;221.8;0.41;92;15;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:34:43;1;3;4;214.7;0.45;96;221.9;0.42;92;15;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:37:15;3;4;64;289.5;0.67;195;220.6;0.85;187;16;15;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:37:19;3;64;4;291.2;0.64;188;220.9;0.82;181;16;15;;;;;;;;;;;;;;;;;;;;;0;0;0.0
15:13:04;3;4;49;293.0;4.54;1331;225.9;5.65;1278;34;322;;;;;;;;;;;;;;;;;;;;;0;0;0.0
15:13:16;3;49;57;339.7;0.00;0;227.1;0.00;0;34;322;;;;;;;;;;;;;;;;;;;;;0;0;0.0
15:19:02;3;57;1;335.5;0.00;0;223.7;0.00;0;34;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
15:19:06;3;1;3;335.4;0.00;0;223.7;0.00;0;34;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
15:19:09;3;3;4;334.1;0.05;17;223.9;0.07;16;34;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:18:12;4;4;64;277.5;0.60;166;224.4;0.71;159;33;9;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:18:16;4;64;4;281.2;0.60;168;224.2;0.72;162;33;9;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:23:17;1;4;3;233.6;0.45;105;224.7;0.45;101;31;16;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:23:21;1;3;4;224.4;0.46;104;224.3;0.45;100;31;16;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:23:35;1;4;3;210.2;0.46;97;224.5;0.42;93;31;16;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:23:43;1;3;4;199.9;0.46;93;224.3;0.40;89;31;17;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:23:55;1;4;3;229.2;0.43;99;225.0;0.42;95;31;17;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:23:59;1;3;4;223.8;0.41;92;224.6;0.39;88;31;17;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:24:15;1;4;3;203.1;0.49;100;224.6;0.42;96;31;18;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:24:31;1;3;4;199.9;0.44;87;224.5;0.37;84;31;18;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:24:35;1;4;3;201.6;0.46;94;224.3;0.40;90;31;18;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:29:28;2;4;3;281.5;0.36;103;222.2;0.44;99;32;33;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:29:32;4;4;3;274.5;0.35;96;223.1;0.41;93;32;33;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:29:34;2;3;4;269.6;0.35;96;221.9;0.41;92;32;33;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:29:59;2;4;3;281.6;0.33;92;221.9;0.40;89;32;34;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:30:56;3;4;3;274.8;0.37;101;224.4;0.43;97;31;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:31:00;3;3;4;278.3;0.38;107;224.4;0.46;103;31;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:31:34;3;4;3;258.3;0.40;102;224.0;0.44;98;31;2;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:46:30;1;3;1;199.9;0.00;0;224.0;0.00;0;29;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:49:40;1;1;3;283.9;0.00;0;223.6;0.00;0;29;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:49:54;2;3;1;211.1;0.00;1;221.6;0.00;1;31;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:51:56;4;3;1;214.2;0.00;0;222.3;0.00;0;31;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:53:02;2;1;3;316.2;0.00;0;221.1;0.00;0;30;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:53:46;3;3;1;199.8;0.00;0;223.4;0.00;0;30;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:54:58;4;1;3;288.4;0.00;0;222.2;0.00;0;31;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:55:05;1;1;3;243.4;0.00;0;223.4;0.00;0;29;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:55:16;1;3;1;145.9;0.00;0;223.8;0.00;0;29;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:55:27;2;3;1;237.1;0.00;0;221.6;0.00;0;30;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:56:49;3;1;3;289.0;0.00;0;223.2;0.00;0;30;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:57:30;4;3;1;201.9;0.00;0;223.2;0.00;0;30;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:58:20;3;3;1;176.4;0.00;0;224.0;0.00;0;30;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:58:33;2;1;3;291.5;0.00;0;221.3;0.00;0;30;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:58:39;2;3;1;130.0;0.00;0;221.6;0.00;0;30;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:12:09;1;1;2;80.1;0.00;0;223.9;0.00;0;27;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:17:52;4;1;2;80.1;0.00;0;222.4;0.00;0;28;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:21:01;2;1;2;80.9;0.00;0;221.2;0.00;0;28;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:22:38;3;1;2;80.4;0.00;0;222.3;0.00;0;27;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
