[info]
Anlage=SENA Bogota
Datum=180312
[messung]
Uhrzeit;Intervall;W_V0;G_M0;T_U0;T_M0;T_M13;T_M14;T_M15
;s;m/s;W/m²;°C;°C;°C;°C;°C
[Start]
00:15:00;900;-3.8;496;162.4;;;;
00:30:00;900;-3.8;496;162.4;;;;
00:45:00;900;-3.8;496;162.4;;;;
01:00:00;900;-3.8;496;162.4;;;;
01:15:00;900;-3.8;496;162.4;;;;
01:30:00;900;-3.8;496;162.4;;;;
01:45:00;900;-3.8;496;162.4;;;;
02:00:00;900;-3.8;496;162.4;;;;
02:15:00;900;-3.8;496;162.4;;;;
02:30:00;900;-3.8;496;162.4;;;;
02:45:00;900;-3.9;496;162.4;;;;
03:00:00;900;-3.9;496;162.4;;;;
03:15:00;900;-3.8;496;162.4;;;;
03:30:00;900;-3.9;496;162.4;;;;
03:45:00;900;-3.9;496;162.4;;;;
04:00:00;900;-3.9;496;162.4;;;;
04:15:00;900;-3.9;496;162.4;;;;
04:30:00;900;-3.9;496;162.4;;;;
04:45:00;900;-3.9;496;162.4;;;;
05:00:00;900;-3.9;496;162.4;;;;
05:15:00;900;-3.9;498;162.4;;;;
05:30:00;900;-3.9;506;162.4;;;;
05:45:00;900;-3.9;536;162.4;;;;
06:00:00;900;-3.9;591;162.4;;;;
06:15:00;900;-3.9;633;162.4;;;;
06:30:00;900;-3.9;642;162.4;;;;
06:45:00;900;-3.9;685;162.4;;;;
07:00:00;900;-3.9;736;162.4;;;;
07:15:00;900;-3.9;778;162.4;;;;
07:30:00;900;-4.0;756;162.4;;;;
07:45:00;900;-3.9;1196;162.4;;;;
08:00:00;900;-4.0;1096;162.4;;;;
08:15:00;900;-3.9;1133;162.4;;;;
08:30:00;900;-3.9;1295;162.4;;;;
08:45:00;900;-3.9;1212;162.4;;;;
09:00:00;900;-3.9;932;162.4;;;;
09:15:00;900;-3.9;1172;162.4;;;;
09:30:00;900;-3.9;1622;162.4;;;;
09:45:00;900;-3.9;1833;162.4;;;;
10:00:00;900;-3.8;1963;162.4;;;;
10:15:00;900;-3.9;1744;162.4;;;;
10:30:00;900;-3.9;1555;162.4;;;;
10:45:00;900;-3.9;1979;162.4;;;;
11:00:00;900;-3.8;1829;162.4;;;;
11:15:00;900;-3.8;1864;162.4;;;;
11:30:00;900;-3.8;1670;162.4;;;;
11:45:00;900;-3.8;1667;162.4;;;;
12:00:00;900;-3.8;1388;162.4;;;;
12:15:00;900;-3.7;1456;162.4;;;;
12:30:00;900;-3.7;1473;162.4;;;;
12:45:00;900;-3.7;1669;162.4;;;;
13:00:00;900;-3.7;1414;162.4;;;;
13:15:00;900;-3.7;1567;162.4;;;;
13:30:00;900;-3.7;1089;162.4;;;;
13:45:00;900;-3.7;1077;162.4;;;;
14:00:00;900;-3.7;1067;162.4;;;;
14:15:00;900;-3.7;1043;162.4;;;;
14:30:00;900;-3.7;850;162.4;;;;
14:45:00;900;-3.7;875;162.4;;;;
15:00:00;900;-3.7;857;162.4;;;;
15:15:00;900;-3.7;784;162.4;;;;
15:30:00;900;-3.8;895;162.4;;;;
15:45:00;900;-3.7;917;162.4;;;;
16:00:00;900;-3.7;951;162.4;;;;
16:15:00;900;-3.8;850;162.4;;;;
16:30:00;900;-3.8;667;162.4;;;;
16:45:00;900;-3.8;711;162.4;;;;
17:00:00;900;-3.8;592;162.4;;;;
17:15:00;900;-3.8;509;162.4;;;;
17:30:00;900;-3.8;498;162.4;;;;
17:45:00;900;-3.8;497;162.4;;;;
18:00:00;900;-3.8;497;162.4;;;;
18:15:00;900;-3.8;497;162.4;;;;
18:30:00;900;-3.8;497;162.4;;;;
18:45:00;900;-3.8;496;162.4;;;;
19:00:00;900;-3.8;496;162.4;;;;
19:15:00;900;-3.8;496;162.4;;;;
19:30:00;900;-3.8;496;162.4;;;;
19:45:00;900;-3.8;496;162.4;;;;
20:00:00;900;-3.7;496;162.4;;;;
20:15:00;900;-3.8;496;162.4;;;;
20:30:00;900;-3.8;496;162.4;;;;
20:45:00;900;-3.7;496;162.4;;;;
21:00:00;900;-3.8;496;162.4;;;;
21:15:00;900;-3.8;496;162.4;;;;
21:30:00;900;-3.9;496;162.4;;;;
21:45:00;900;-3.9;496;162.4;;;;
22:00:00;900;-3.8;496;162.4;;;;
22:15:00;900;-3.8;496;162.4;;;;
22:30:00;900;-3.8;496;162.4;;;;
22:45:00;900;-3.8;496;162.4;;;;
23:00:00;900;-3.8;496;162.4;;;;
23:15:00;900;-3.8;496;162.4;;;;
23:30:00;900;-3.8;496;162.4;;;;
23:45:00;900;-3.8;496;162.4;;;;
24:00:00;900;-3.9;496;162.4;;;;
