;Addr;S_OLD;S_NEW;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR;U_DC_1;I_DC_1;P_DC_1;U_DC_2;I_DC_2;P_DC_2;U_DC_3;I_DC_3;P_DC_3;U_AC_1;I_AC_1;P_AC_1;U_AC_2;I_AC_2;P_AC_2;U_AC_3;I_AC_3;P_AC_3;COS_PHI;;;;
;;;;V;A;W;V;A;W;°C;Wh;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;;;;;
04:55:44;4;0;1;0.0;0.00;0;0.0;0.00;0;0;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:20:57;3;1;3;302.8;0.00;0;221.4;0.00;0;14;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:22:20;2;1;3;267.7;0.00;0;219.8;0.00;0;13;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:24:50;4;1;3;292.3;0.00;0;221.1;0.00;0;13;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:24:52;2;3;1;241.2;0.02;5;219.9;0.02;5;13;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:27:54;2;1;3;329.5;0.00;0;219.8;0.00;0;14;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:30:07;1;1;3;248.2;0.00;0;221.6;0.00;0;13;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:37:53;4;3;4;200.0;0.42;84;220.9;0.36;81;14;8;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:37:58;3;3;4;200.0;0.46;93;220.9;0.40;89;15;9;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:38:05;4;4;3;203.0;0.46;93;221.0;0.41;90;14;8;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:38:09;4;3;4;200.0;0.44;88;220.5;0.38;85;14;9;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:38:15;4;4;3;200.0;0.46;93;220.9;0.40;89;14;9;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:38:20;4;3;4;200.0;0.44;88;220.9;0.38;84;14;9;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:39:16;2;3;4;199.9;0.49;97;219.6;0.42;93;14;10;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:39:20;2;4;3;199.9;0.46;93;219.5;0.41;89;14;10;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:39:37;1;3;4;210.3;0.45;95;221.9;0.41;91;14;6;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:39:39;2;3;4;199.9;0.49;98;219.6;0.43;94;14;11;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:19:51;1;4;3;203.6;0.48;97;226.0;0.41;93;28;13;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:19:59;1;3;4;199.9;0.51;101;225.5;0.43;97;28;14;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:20:07;1;4;3;215.9;0.43;92;225.9;0.39;89;28;14;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:22:08;4;4;3;277.3;0.34;95;224.5;0.41;92;30;22;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:22:18;2;4;3;285.8;0.34;97;223.3;0.42;93;29;24;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:22:47;3;4;3;271.3;0.37;100;224.0;0.43;96;29;26;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:22:51;3;3;4;276.5;0.37;101;224.5;0.43;97;29;26;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:22:59;3;4;3;266.7;0.37;99;225.0;0.42;95;29;27;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:35:47;1;3;1;199.8;0.00;0;225.6;0.00;0;27;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:38:51;1;1;3;295.1;0.00;0;226.0;0.00;0;27;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:41:21;1;3;1;221.1;0.00;0;225.9;0.00;0;27;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
