;Addr;S_OLD;S_NEW;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR;U_DC_1;I_DC_1;P_DC_1;U_DC_2;I_DC_2;P_DC_2;U_DC_3;I_DC_3;P_DC_3;U_AC_1;I_AC_1;P_AC_1;U_AC_2;I_AC_2;P_AC_2;U_AC_3;I_AC_3;P_AC_3;COS_PHI;;;;
;;;;V;A;W;V;A;W;°C;Wh;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;;;;;
05:27:40;3;0;1;0.0;0.00;0;0.0;0.00;0;0;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:39:28;3;1;2;240.2;0.00;0;232.5;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:39:35;3;2;1;5.6;0.00;0;232.6;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:42:49;2;1;2;22.4;0.00;0;230.0;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:42:53;2;2;1;4.8;0.00;0;230.0;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:55:12;2;1;3;101.8;0.00;0;230.9;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:57:42;2;3;1;238.3;0.00;1;230.7;0.00;1;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:57:59;3;1;3;305.2;0.00;0;231.9;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:59:46;4;1;3;307.0;0.00;0;231.9;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:00:44;2;1;3;330.2;0.00;0;230.1;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:03:42;1;1;3;237.2;0.00;0;232.0;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:08:57;3;3;4;200.0;0.48;95;230.5;0.40;92;17;7;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:09:26;4;3;4;200.0;0.44;88;229.8;0.37;84;17;6;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:10:43;2;3;4;200.0;0.47;93;229.0;0.39;90;17;8;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:11:32;1;3;4;228.0;0.40;91;231.0;0.38;87;17;4;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:11:36;1;4;3;228.1;0.40;92;231.3;0.38;88;17;4;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:11:56;1;3;4;200.0;0.48;96;230.8;0.40;92;17;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:13:44;3;4;64;275.8;0.72;199;229.6;0.83;191;17;20;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:13:48;3;64;4;275.3;0.72;198;229.4;0.83;190;17;21;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:16:41;1;4;3;207.8;0.47;98;229.3;0.41;94;17;3;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:20:37;1;3;4;199.9;0.48;95;231.3;0.40;92;17;9;;;;;;;;;;;;;;;;;;;;;0;0;0.0
