[info]
Anlage=SENA Bogota
Datum=170511
[messung]
Uhrzeit;Intervall;W_V0;G_M0;T_U0;T_M0;T_M13;T_M14;T_M15
;s;m/s;W/m²;°C;°C;°C;°C;°C
[Start]
00:15:00;900;-8.8;497;162.4;;;;
00:30:00;900;-8.8;497;162.4;;;;
00:45:00;900;-8.8;497;162.4;;;;
01:00:00;900;-8.8;497;162.4;;;;
01:15:00;900;-8.8;497;162.4;;;;
01:30:00;900;-8.8;497;162.4;;;;
01:45:00;900;-8.8;497;162.4;;;;
02:00:00;900;-8.8;497;162.4;;;;
02:15:00;900;-8.8;497;162.4;;;;
02:30:00;900;-8.8;497;162.4;;;;
02:45:00;900;-8.8;497;162.4;;;;
03:00:00;900;-8.8;497;162.4;;;;
03:15:00;900;-8.8;497;162.4;;;;
03:30:00;900;-8.8;497;162.4;;;;
03:45:00;900;-8.8;497;162.4;;;;
04:00:00;900;-8.8;497;162.4;;;;
04:15:00;900;-8.8;497;162.4;;;;
04:30:00;900;-8.8;497;162.4;;;;
04:45:00;900;-8.8;497;162.4;;;;
05:00:00;900;-8.8;497;162.4;;;;
05:15:00;900;-8.8;497;162.4;;;;
05:30:00;900;-8.8;497;162.4;;;;
05:45:00;900;-8.8;498;162.4;;;;
06:00:00;900;-8.8;505;162.4;;;;
06:15:00;900;-8.8;519;162.4;;;;
06:30:00;900;-8.8;529;162.4;;;;
06:45:00;900;-8.8;541;162.4;;;;
07:00:00;900;-8.8;570;162.4;;;;
07:15:00;900;-8.8;592;162.4;;;;
07:30:00;900;-8.8;655;162.4;;;;
07:45:00;900;-8.8;705;162.4;;;;
08:00:00;900;-8.8;798;162.4;;;;
08:15:00;900;-8.8;781;162.4;;;;
08:30:00;900;-8.8;680;162.4;;;;
08:45:00;900;-8.8;631;162.4;;;;
09:00:00;900;-8.8;657;162.4;;;;
09:15:00;900;-8.8;828;162.4;;;;
09:30:00;900;-8.8;945;162.4;;;;
09:45:00;900;-8.8;965;162.4;;;;
10:00:00;900;-8.8;949;162.4;;;;
10:15:00;900;-8.8;1015;162.4;;;;
10:30:00;900;-8.8;798;162.4;;;;
10:45:00;900;-8.8;930;162.4;;;;
11:00:00;900;-8.8;1422;162.4;;;;
11:15:00;900;-8.8;1097;162.4;;;;
11:30:00;900;-8.8;1076;162.4;;;;
11:45:00;900;-8.8;1191;162.4;;;;
12:00:00;900;-8.8;1106;162.4;;;;
12:15:00;900;-8.8;917;162.4;;;;
12:30:00;900;-8.8;937;162.4;;;;
12:45:00;900;-8.8;1079;162.4;;;;
13:00:00;900;-8.8;859;162.4;;;;
13:15:00;900;-8.8;904;162.4;;;;
13:30:00;900;-8.8;694;162.4;;;;
13:45:00;900;-8.8;679;162.4;;;;
14:00:00;900;-8.8;883;162.4;;;;
14:15:00;900;-8.8;1158;162.4;;;;
14:30:00;900;-8.8;1366;162.4;;;;
14:45:00;900;-8.8;1075;162.4;;;;
15:00:00;900;-8.8;941;162.4;;;;
15:15:00;900;-8.8;973;162.4;;;;
15:30:00;900;-8.8;950;162.4;;;;
15:45:00;900;-8.8;817;162.4;;;;
16:00:00;900;-8.8;795;162.4;;;;
16:15:00;900;-8.8;749;162.4;;;;
16:30:00;900;-8.8;682;162.4;;;;
16:45:00;900;-8.8;627;162.4;;;;
17:00:00;900;-8.8;589;162.4;;;;
17:15:00;900;-8.8;570;162.4;;;;
17:30:00;900;-8.8;543;162.4;;;;
17:45:00;900;-8.8;520;162.4;;;;
18:00:00;900;-8.8;503;162.4;;;;
18:15:00;900;-8.8;498;162.4;;;;
18:30:00;900;-8.8;497;162.4;;;;
18:45:00;900;-8.8;497;162.4;;;;
19:00:00;900;-8.8;497;162.4;;;;
19:15:00;900;-8.8;497;162.4;;;;
19:30:00;900;-8.8;497;162.4;;;;
19:45:00;900;-8.8;497;162.4;;;;
20:00:00;900;-8.8;497;162.4;;;;
20:15:00;900;-8.8;497;162.4;;;;
20:30:00;900;-8.8;497;162.4;;;;
20:45:00;900;-8.8;497;162.4;;;;
21:00:00;900;-8.8;497;162.4;;;;
21:15:00;900;-8.8;497;162.4;;;;
21:30:00;900;-8.8;497;162.4;;;;
21:45:00;900;-8.8;497;162.4;;;;
22:00:00;900;-8.8;497;162.4;;;;
22:15:00;900;-8.8;497;162.4;;;;
22:30:00;900;-8.8;497;162.4;;;;
22:45:00;900;-8.8;497;162.4;;;;
23:00:00;900;-8.8;497;162.4;;;;
23:15:00;900;-8.8;497;162.4;;;;
23:30:00;900;-8.8;497;162.4;;;;
23:45:00;900;-8.8;497;162.4;;;;
24:00:00;900;-8.8;497;162.4;;;;
