[info]
Anlage=SENA Bogota
Datum=170804
[messung]
Uhrzeit;Intervall;W_V0;G_M0;T_U0;T_M0;T_M13;T_M14;T_M15
;s;m/s;W/m²;°C;°C;°C;°C;°C
[Start]
00:15:00;900;-8.8;497;162.4;;;;
00:30:00;900;-8.8;497;162.4;;;;
00:45:00;900;-8.8;497;162.4;;;;
01:00:00;900;-8.8;497;162.4;;;;
01:15:00;900;-8.8;497;162.4;;;;
01:30:00;900;-8.8;497;162.4;;;;
01:45:00;900;-8.8;497;162.4;;;;
02:00:00;900;-8.8;497;162.4;;;;
Info;Time
02:15:00;199;-8.8;497;162.4;;;;
02:30:00;900;-8.8;497;162.4;;;;
02:45:00;900;-8.8;497;162.4;;;;
03:00:00;900;-8.8;497;162.4;;;;
03:15:00;900;-8.8;497;162.4;;;;
03:30:00;900;-8.8;497;162.4;;;;
03:45:00;900;-8.8;497;162.4;;;;
04:00:00;900;-8.8;497;162.4;;;;
04:15:00;900;-8.8;497;162.4;;;;
04:30:00;900;-8.8;497;162.4;;;;
04:45:00;900;-8.8;497;162.4;;;;
05:00:00;900;-8.8;497;162.4;;;;
05:15:00;900;-8.8;497;162.4;;;;
05:30:00;900;-8.8;497;162.4;;;;
05:45:00;900;-8.8;498;162.4;;;;
06:00:00;900;-8.8;502;162.4;;;;
06:15:00;900;-8.8;516;162.4;;;;
06:30:00;900;-8.8;669;162.4;;;;
06:45:00;900;-8.8;768;162.4;;;;
07:00:00;900;-8.8;841;162.4;;;;
07:15:00;900;-8.8;899;162.4;;;;
07:30:00;900;-8.8;950;162.4;;;;
07:45:00;900;-8.8;1053;162.4;;;;
08:00:00;900;-8.8;1130;162.4;;;;
08:15:00;900;-8.8;1210;162.4;;;;
08:30:00;900;-8.8;1274;162.4;;;;
08:45:00;900;-8.8;1336;162.4;;;;
09:00:00;900;-8.8;1394;162.4;;;;
09:15:00;900;-8.8;1454;162.4;;;;
09:30:00;900;-8.8;1503;162.4;;;;
09:45:00;900;-8.8;1580;162.4;;;;
10:00:00;900;-8.8;1591;162.4;;;;
10:15:00;900;-8.8;1553;162.4;;;;
10:30:00;900;-8.8;1654;162.4;;;;
10:45:00;900;-8.8;1164;162.4;;;;
11:00:00;900;-8.8;1510;162.4;;;;
11:15:00;900;-8.8;1848;162.4;;;;
11:30:00;900;-8.8;1929;162.4;;;;
11:45:00;900;-8.8;1910;162.4;;;;
12:00:00;900;-8.7;1886;162.4;;;;
12:15:00;900;-8.7;1846;162.4;;;;
12:30:00;900;-8.7;1956;162.4;;;;
12:45:00;900;-8.7;1988;162.4;;;;
13:00:00;900;-8.7;1827;162.4;;;;
13:15:00;900;-8.7;1693;162.4;;;;
13:30:00;900;-8.7;1236;162.4;;;;
13:45:00;900;-8.7;1276;162.4;;;;
14:00:00;900;-8.7;1148;162.4;;;;
14:15:00;900;-8.7;1141;162.4;;;;
14:30:00;900;-8.7;1314;162.4;;;;
14:45:00;900;-8.7;1300;162.4;;;;
15:00:00;900;-8.7;1233;162.4;;;;
15:15:00;900;-8.7;1152;162.4;;;;
15:30:00;900;-8.8;1147;162.4;;;;
15:45:00;900;-8.7;1088;162.4;;;;
16:00:00;900;-8.8;849;162.4;;;;
16:15:00;900;-8.8;824;162.4;;;;
16:30:00;900;-8.8;760;162.4;;;;
16:45:00;900;-8.8;715;162.4;;;;
17:00:00;900;-8.8;670;162.4;;;;
17:15:00;900;-8.8;603;162.4;;;;
17:30:00;900;-8.8;551;162.4;;;;
17:45:00;900;-8.8;523;162.4;;;;
18:00:00;900;-8.8;510;162.4;;;;
18:15:00;900;-8.8;502;162.4;;;;
18:30:00;900;-8.8;498;162.4;;;;
18:45:00;900;-8.8;497;162.4;;;;
19:00:00;900;-8.8;497;162.4;;;;
19:15:00;900;-8.8;497;162.4;;;;
19:30:00;900;-8.8;497;162.4;;;;
19:45:00;900;-8.8;497;162.4;;;;
20:00:00;900;-8.8;497;162.4;;;;
20:15:00;900;-8.8;497;162.4;;;;
20:30:00;900;-8.8;497;162.4;;;;
20:45:00;900;-8.8;497;162.4;;;;
21:00:00;900;-8.8;497;162.4;;;;
21:15:00;900;-8.8;497;162.4;;;;
21:30:00;900;-8.8;497;162.4;;;;
21:45:00;900;-8.8;497;162.4;;;;
22:00:00;900;-8.8;497;162.4;;;;
22:15:00;900;-8.8;497;162.4;;;;
22:30:00;900;-8.8;497;162.4;;;;
22:45:00;900;-8.8;497;162.4;;;;
23:00:00;900;-8.8;497;162.4;;;;
23:15:00;900;-8.8;497;162.4;;;;
23:30:00;900;-8.8;497;162.4;;;;
23:45:00;900;-8.8;497;162.4;;;;
24:00:00;900;-8.8;497;162.4;;;;
