;Addr;S_OLD;S_NEW;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR;U_DC_1;I_DC_1;P_DC_1;U_DC_2;I_DC_2;P_DC_2;U_DC_3;I_DC_3;P_DC_3;U_AC_1;I_AC_1;P_AC_1;U_AC_2;I_AC_2;P_AC_2;U_AC_3;I_AC_3;P_AC_3;COS_PHI;;;;
;;;;V;A;W;V;A;W;°C;Wh;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;;;;;
05:14:06;3;1;3;95.4;0.00;0;221.2;0.00;0;13;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:15:31;2;1;3;265.7;0.00;0;219.8;0.00;0;13;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:16:38;3;3;1;228.3;0.04;9;221.6;0.04;9;13;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:18:01;2;3;1;244.4;0.03;8;219.6;0.03;8;13;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:18:41;4;1;3;309.9;0.00;0;220.4;0.00;0;13;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:19:40;3;1;3;313.6;0.00;0;220.4;0.00;0;13;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:21:05;2;1;3;335.2;0.00;0;219.7;0.00;0;13;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:21:28;1;1;3;297.0;0.00;0;221.6;0.00;0;13;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:23:57;1;3;1;222.8;0.01;2;221.4;0.01;2;13;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:27:01;1;1;3;315.7;0.00;0;221.4;0.00;0;13;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:39:34;3;3;4;201.9;0.49;99;220.0;0.43;95;15;10;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:39:35;4;3;4;199.9;0.45;91;220.4;0.40;87;14;9;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:39:54;1;3;4;220.9;0.44;96;222.1;0.42;93;14;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:40:10;2;3;4;200.0;0.48;96;220.5;0.42;93;14;10;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:40:56;1;4;64;225.0;0.77;174;227.4;0.73;167;32;39;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:41:00;1;64;4;244.7;0.71;174;227.6;0.73;167;32;39;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:47:14;1;4;3;212.5;0.46;97;227.1;0.41;94;32;4;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:47:20;1;3;4;199.8;0.49;98;226.8;0.42;94;32;4;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:47:32;1;4;3;233.8;0.42;97;226.5;0.41;93;31;4;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:51:39;4;4;64;282.9;0.54;153;223.7;0.65;146;34;25;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:51:44;4;64;4;283.6;0.53;151;224.0;0.65;145;34;25;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:54:00;2;4;3;279.2;0.34;96;222.9;0.41;92;33;29;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:54:04;2;3;4;282.4;0.33;94;223.0;0.41;91;33;29;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:54:08;2;4;3;280.0;0.35;97;223.0;0.42;93;33;29;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:54:17;3;4;3;257.5;0.40;102;224.1;0.44;98;33;33;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:54:18;4;4;3;260.1;0.37;96;223.5;0.41;92;33;30;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:54:21;3;3;4;288.7;0.37;107;224.5;0.46;103;33;33;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:54:33;3;4;3;258.7;0.35;92;224.7;0.39;88;33;33;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:56:48;1;3;1;199.9;0.00;0;225.0;0.00;0;31;9;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:03:01;2;3;1;210.4;0.00;0;222.8;0.00;0;32;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:03:41;4;3;1;200.0;0.00;0;224.1;0.00;0;33;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:04:07;3;3;1;200.2;0.00;0;224.9;0.00;0;32;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:06:58;3;1;3;274.5;0.00;0;223.8;0.00;0;32;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:07:04;3;3;1;107.7;0.00;0;224.3;0.00;0;32;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:13:01;1;1;2;80.5;0.00;0;224.7;0.00;0;29;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:13:10;3;1;2;232.1;0.00;0;225.1;0.00;0;31;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:13:16;3;2;1;5.4;0.00;0;224.7;0.00;0;31;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:20:10;4;1;2;80.7;0.00;0;223.3;0.00;0;31;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:23:29;2;1;2;82.0;0.00;0;221.9;0.00;0;30;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:25:06;3;1;2;81.4;0.00;0;223.5;0.00;0;30;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
