;Addr;S_OLD;S_NEW;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR;U_DC_1;I_DC_1;P_DC_1;U_DC_2;I_DC_2;P_DC_2;U_DC_3;I_DC_3;P_DC_3;U_AC_1;I_AC_1;P_AC_1;U_AC_2;I_AC_2;P_AC_2;U_AC_3;I_AC_3;P_AC_3;COS_PHI;;;;
;;;;V;A;W;V;A;W;°C;Wh;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;;;;;
05:07:16;3;1;2;27.7;0.00;0;220.9;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:07:20;3;2;1;8.1;0.00;0;220.8;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:19:36;3;1;3;308.2;0.00;0;220.4;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:21:09;2;1;3;329.4;0.00;0;219.2;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:23:49;4;1;3;304.2;0.00;0;220.2;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:26:06;1;1;3;247.2;0.00;0;221.4;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:39:19;3;3;4;205.9;0.49;102;220.6;0.44;98;17;10;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:40:32;1;3;4;200.0;0.48;96;220.8;0.42;93;17;9;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:40:46;1;4;3;211.7;0.44;94;220.8;0.41;91;17;9;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:41:10;4;3;4;200.0;0.44;89;219.7;0.39;85;17;12;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:41:11;1;3;4;204.8;0.45;93;220.8;0.41;90;17;9;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:42:37;2;3;4;199.8;0.47;93;218.8;0.41;90;17;14;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:42:41;2;4;3;199.9;0.46;93;218.8;0.41;89;17;15;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:42:48;2;3;4;199.9;0.50;99;219.0;0.43;95;17;15;;;;;;;;;;;;;;;;;;;;;0;0;0.0
07:47:45;3;4;1;276.2;12.66;3498;227.2;14.78;3358;36;151;;;;;;;;;;;;;;;;;;;;;0;0;0.0
07:48:01;3;1;57;349.9;0.00;0;224.3;0.00;0;36;153;;;;;;;;;;;;;;;;;;;;;0;0;0.0
07:53:46;3;57;1;342.9;0.00;0;225.6;0.00;0;36;153;;;;;;;;;;;;;;;;;;;;;0;0;0.0
07:53:50;3;1;4;342.7;0.00;0;225.5;0.00;0;36;153;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:38:23;1;4;3;204.1;0.46;94;223.9;0.40;90;35;17;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:38:31;1;3;4;210.7;0.47;100;223.6;0.43;96;35;17;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:38:39;1;4;3;199.8;0.46;92;223.6;0.39;88;35;18;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:38:47;1;3;4;199.8;0.47;94;223.7;0.41;91;35;18;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:38:51;1;4;3;200.0;0.50;101;223.9;0.43;97;35;18;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:38:59;1;3;4;199.9;0.44;89;224.1;0.38;85;35;18;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:39:08;1;4;3;216.9;0.45;98;223.5;0.42;94;35;18;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:41:59;4;4;3;240.0;0.41;99;222.8;0.42;95;37;27;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:42:13;2;4;3;271.0;0.38;103;221.9;0.44;99;37;29;;;;;;;;;;;;;;;;;;;;;0;0;0.0
