;Addr;S_OLD;S_NEW;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR;U_DC_1;I_DC_1;P_DC_1;U_DC_2;I_DC_2;P_DC_2;U_DC_3;I_DC_3;P_DC_3;U_AC_1;I_AC_1;P_AC_1;U_AC_2;I_AC_2;P_AC_2;U_AC_3;I_AC_3;P_AC_3;COS_PHI;;;;
;;;;V;A;W;V;A;W;°C;Wh;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;;;;;
05:36:13;2;0;1;0.0;0.00;0;0.0;0.00;0;0;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:02:09;4;1;3;234.6;0.00;0;226.9;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:03:58;3;1;3;309.5;0.00;0;227.1;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:05:15;2;1;3;308.4;0.00;0;225.6;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:05:38;1;1;3;134.1;0.00;0;227.8;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:08:10;1;3;1;219.7;0.00;0;228.2;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:11:13;1;1;3;310.7;0.00;0;227.5;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:20:00;2;3;4;247.3;0.39;95;224.3;0.41;92;17;4;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:20:06;3;3;4;199.9;0.49;97;225.1;0.41;93;17;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:20:07;4;3;4;226.0;0.44;100;225.1;0.43;96;17;4;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:20:28;1;3;4;233.1;0.38;89;226.3;0.38;86;17;3;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:21:22;2;4;64;310.3;0.62;192;224.3;0.82;185;17;7;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:21:26;2;64;4;309.6;0.62;193;224.1;0.83;186;17;8;;;;;;;;;;;;;;;;;;;;;0;0;0.0
11:36:24;3;4;64;298.8;14.20;4243;217.5;18.72;4073;43;330;;;;;;;;;;;;;;;;;;;;;0;0;0.0
11:36:28;3;64;4;291.7;14.41;4204;217.3;18.57;4036;43;334;;;;;;;;;;;;;;;;;;;;;0;0;0.0
11:39:05;2;4;64;263.5;15.17;3997;217.9;17.61;3837;43;444;;;;;;;;;;;;;;;;;;;;;0;0;0.0
11:39:06;3;4;64;275.9;15.44;4259;217.4;18.81;4089;43;453;;;;;;;;;;;;;;;;;;;;;0;0;0.0
11:39:09;2;64;4;282.0;14.91;4203;218.0;18.51;4035;43;448;;;;;;;;;;;;;;;;;;;;;0;0;0.0
11:39:10;3;64;4;257.9;16.09;4150;217.3;18.33;3984;43;458;;;;;;;;;;;;;;;;;;;;;0;0;0.0
11:48:01;3;4;64;301.0;14.09;4243;216.8;18.78;4073;44;93;;;;;;;;;;;;;;;;;;;;;0;0;0.0
11:48:05;3;64;4;263.2;15.91;4189;217.0;18.53;4021;44;97;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:46:16;1;4;64;220.5;0.86;190;218.1;0.83;182;41;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:46:20;1;64;4;227.4;0.82;186;218.4;0.82;179;41;6;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:54:16;1;4;64;223.4;0.79;176;218.7;0.77;169;40;22;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:54:19;4;4;64;269.8;0.65;175;217.4;0.77;168;42;24;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:54:20;1;64;4;221.3;0.77;171;218.1;0.75;164;40;22;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:54:23;4;64;4;281.0;0.64;181;217.2;0.80;174;42;24;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:58:44;4;4;3;261.3;0.37;96;217.6;0.42;92;41;34;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:58:49;1;4;3;220.8;0.43;95;218.6;0.42;92;39;32;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:58:58;2;4;3;281.4;0.35;99;216.8;0.43;95;41;34;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:59:23;3;4;3;283.0;0.36;101;217.8;0.45;97;41;38;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:59:27;3;3;4;279.4;0.36;101;217.0;0.45;97;41;38;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:59:49;3;4;3;278.8;0.34;95;217.5;0.42;91;41;39;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:59:53;3;3;4;270.3;0.37;100;217.5;0.44;96;41;39;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:59:57;3;4;3;275.5;0.35;98;217.2;0.43;94;41;39;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:03:05;1;3;4;200.0;0.46;93;218.9;0.41;89;39;4;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:03:09;1;4;3;200.0;0.44;88;219.3;0.39;85;39;4;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:03:35;1;3;4;200.0;0.43;87;219.9;0.38;83;39;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:03:39;1;4;3;200.0;0.47;94;219.3;0.41;90;39;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:46:45;1;3;1;199.8;0.00;0;221.8;0.00;0;36;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:46:57;2;3;1;200.6;0.00;0;219.1;0.00;0;37;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:47:22;4;3;1;200.2;0.00;0;221.1;0.00;0;37;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:48:33;3;3;1;200.0;0.00;0;220.6;0.00;0;37;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:50:00;2;1;3;308.0;0.00;0;219.3;0.00;0;37;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:50:19;4;1;3;288.1;0.00;0;221.2;0.00;0;37;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:51:27;3;1;3;292.0;0.00;0;221.1;0.00;0;36;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:52:33;2;3;1;230.7;0.00;0;220.0;0.00;0;36;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:53:23;4;3;1;216.0;0.00;0;221.0;0.00;0;37;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:55:34;2;1;3;299.3;0.00;0;219.8;0.00;0;36;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:57:01;3;1;3;284.2;0.00;0;221.0;0.00;0;36;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:57:37;4;3;1;200.6;0.00;0;221.4;0.00;0;36;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:57:50;2;3;1;201.1;0.00;0;219.6;0.00;0;36;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:58:14;3;3;1;205.3;0.00;0;220.7;0.00;0;36;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
18:09:45;1;1;2;80.4;0.00;0;223.3;0.00;0;33;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
18:15:49;4;1;2;80.2;0.00;0;222.0;0.00;0;35;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
18:19:40;2;1;2;82.4;0.00;0;218.8;0.00;0;34;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
18:21:00;3;1;2;80.5;0.00;0;221.3;0.00;0;34;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
