[info]
Anlage=SENA Bogota
Datum=180106
[messung]
Uhrzeit;Intervall;W_V0;G_M0;T_U0;T_M0;T_M13;T_M14;T_M15
;s;m/s;W/m²;°C;°C;°C;°C;°C
[Start]
00:15:00;900;-3.8;496;162.4;;;;
00:30:00;900;-3.8;496;162.4;;;;
00:45:00;900;-3.8;496;162.4;;;;
01:00:00;900;-3.8;496;162.4;;;;
01:15:00;900;-3.8;495;162.4;;;;
01:30:00;900;-3.8;496;162.4;;;;
01:45:00;900;-3.8;496;162.4;;;;
02:00:00;900;-3.8;495;162.4;;;;
02:15:00;900;-3.8;496;162.4;;;;
02:30:00;900;-3.8;495;162.4;;;;
02:45:00;900;-3.8;496;162.4;;;;
03:00:00;900;-3.8;496;162.4;;;;
03:15:00;900;-3.8;496;162.4;;;;
03:30:00;900;-3.8;496;162.4;;;;
03:45:00;900;-3.8;496;162.4;;;;
04:00:00;900;-3.8;496;162.4;;;;
04:15:00;900;-3.8;496;162.4;;;;
04:30:00;900;-3.8;496;162.4;;;;
04:45:00;900;-3.9;495;162.4;;;;
05:00:00;900;-3.9;496;162.4;;;;
05:15:00;900;-3.8;505;162.4;;;;
05:30:00;900;-3.8;529;162.4;;;;
05:45:00;900;-3.8;608;162.4;;;;
06:00:00;900;-3.8;709;162.4;;;;
06:15:00;900;-3.8;902;162.4;;;;
06:30:00;900;-3.9;851;162.4;;;;
06:45:00;900;-3.9;999;162.4;;;;
07:00:00;900;-3.9;1123;162.4;;;;
07:15:00;900;-3.9;1195;162.4;;;;
07:30:00;900;-3.9;1260;162.4;;;;
07:45:00;900;-3.9;1333;162.4;;;;
08:00:00;900;-3.8;1385;162.4;;;;
08:15:00;900;-3.8;1436;162.4;;;;
08:30:00;900;-3.8;1465;162.4;;;;
08:45:00;900;-3.8;1497;162.4;;;;
09:00:00;900;-3.8;1527;162.4;;;;
09:15:00;900;-3.8;1581;162.4;;;;
09:30:00;900;-3.8;1660;162.4;;;;
09:45:00;900;-3.8;1529;162.4;;;;
10:00:00;900;-3.9;1250;162.4;;;;
10:15:00;900;-3.8;1493;162.4;;;;
10:30:00;900;-3.8;1670;162.4;;;;
10:45:00;900;-3.8;1043;162.4;;;;
11:00:00;900;-3.8;1753;162.4;;;;
11:15:00;900;-3.8;1188;162.4;;;;
11:30:00;900;-3.8;1388;162.4;;;;
11:45:00;900;-3.8;1239;162.4;;;;
12:00:00;900;-3.8;1084;162.4;;;;
Info;Time
12:15:00;671;-3.8;1221;162.4;;;;
12:30:00;900;-3.7;1868;162.4;;;;
12:45:00;900;-3.8;1239;162.4;;;;
13:00:00;900;-3.8;1179;162.4;;;;
13:15:00;900;-3.8;985;162.4;;;;
13:30:00;900;-3.8;1429;162.4;;;;
13:45:00;900;-3.8;943;162.4;;;;
14:00:00;900;-3.8;1081;162.4;;;;
14:15:00;900;-3.8;707;162.4;;;;
14:30:00;900;-3.9;582;162.4;;;;
14:45:00;900;-3.8;627;162.4;;;;
15:00:00;900;-3.8;668;162.4;;;;
15:15:00;900;-3.8;671;162.4;;;;
15:30:00;900;-3.8;840;162.4;;;;
15:45:00;900;-3.8;761;162.4;;;;
16:00:00;900;-3.8;678;162.4;;;;
16:15:00;900;-3.8;654;162.4;;;;
16:30:00;900;-3.8;608;162.4;;;;
16:45:00;900;-3.8;546;162.4;;;;
17:00:00;900;-3.8;521;162.4;;;;
17:15:00;900;-3.8;500;162.4;;;;
17:30:00;900;-3.8;496;162.4;;;;
17:45:00;900;-3.8;496;162.4;;;;
18:00:00;900;-3.8;496;162.4;;;;
18:15:00;900;-3.8;496;162.4;;;;
18:30:00;900;-3.8;496;162.4;;;;
18:45:00;900;-3.8;496;162.4;;;;
19:00:00;900;-3.8;496;162.4;;;;
19:15:00;900;-3.8;496;162.4;;;;
19:30:00;900;-3.8;496;162.4;;;;
19:45:00;900;-3.8;496;162.4;;;;
20:00:00;900;-3.8;496;162.4;;;;
20:15:00;900;-3.8;496;162.4;;;;
20:30:00;900;-3.8;496;162.4;;;;
20:45:00;900;-3.8;496;162.4;;;;
21:00:00;900;-3.8;496;162.4;;;;
21:15:00;900;-3.8;496;162.4;;;;
21:30:00;900;-3.7;496;162.4;;;;
21:45:00;900;-3.7;496;162.4;;;;
22:00:00;900;-3.8;496;162.4;;;;
22:15:00;900;-3.8;496;162.4;;;;
22:30:00;900;-3.8;496;162.4;;;;
22:45:00;900;-3.8;496;162.4;;;;
23:00:00;900;-3.8;496;162.4;;;;
23:15:00;900;-3.8;496;162.4;;;;
23:30:00;900;-3.8;496;162.4;;;;
23:45:00;900;-3.8;496;162.4;;;;
24:00:00;900;-3.8;496;162.4;;;;
