[info]
Anlage=SENA Bogota
Datum=180103
[messung]
Uhrzeit;Intervall;W_V0;G_M0;T_U0;T_M0;T_M13;T_M14;T_M15
;s;m/s;W/m²;°C;°C;°C;°C;°C
[Start]
00:15:00;900;-3.8;495;162.4;;;;
00:30:00;900;-3.8;495;162.4;;;;
00:45:00;900;-3.8;495;162.4;;;;
01:00:00;900;-3.8;495;162.4;;;;
01:15:00;900;-3.8;495;162.4;;;;
01:30:00;900;-3.8;495;162.4;;;;
01:45:00;900;-3.8;496;162.4;;;;
02:00:00;900;-3.8;495;162.4;;;;
02:15:00;900;-3.8;495;162.4;;;;
02:30:00;900;-3.8;496;162.4;;;;
02:45:00;900;-3.8;495;162.4;;;;
03:00:00;900;-3.8;496;162.4;;;;
03:15:00;900;-3.8;495;162.4;;;;
03:30:00;900;-3.8;496;162.4;;;;
03:45:00;900;-3.8;495;162.4;;;;
04:00:00;900;-3.8;495;162.4;;;;
04:15:00;900;-3.9;496;162.4;;;;
04:30:00;900;-3.9;495;162.4;;;;
04:45:00;900;-3.9;496;162.4;;;;
05:00:00;900;-3.9;496;162.4;;;;
05:15:00;900;-3.9;504;162.4;;;;
05:30:00;900;-3.9;526;162.4;;;;
05:45:00;900;-3.9;622;162.4;;;;
06:00:00;900;-3.8;836;162.4;;;;
06:15:00;900;-3.8;904;162.4;;;;
06:30:00;900;-3.8;1021;162.4;;;;
06:45:00;900;-3.8;1088;162.4;;;;
07:00:00;900;-3.8;813;162.4;;;;
07:15:00;900;-3.9;669;162.4;;;;
07:30:00;900;-3.9;691;162.4;;;;
07:45:00;900;-3.9;729;162.4;;;;
08:00:00;900;-3.9;745;162.4;;;;
08:15:00;900;-3.9;763;162.4;;;;
08:30:00;900;-3.9;788;162.4;;;;
08:45:00;900;-3.9;808;162.4;;;;
09:00:00;900;-3.9;835;162.4;;;;
09:15:00;900;-3.9;836;162.4;;;;
09:30:00;900;-3.8;858;162.4;;;;
09:45:00;900;-3.8;910;162.4;;;;
10:00:00;900;-3.8;996;162.4;;;;
10:15:00;900;-3.9;802;162.4;;;;
10:30:00;900;-3.9;874;162.4;;;;
10:45:00;900;-3.8;1032;162.4;;;;
11:00:00;900;-3.8;1098;162.4;;;;
11:15:00;900;-3.8;1630;162.4;;;;
11:30:00;900;-3.8;1534;162.4;;;;
11:45:00;900;-3.8;1135;162.4;;;;
12:00:00;900;-3.7;1287;162.4;;;;
12:15:00;900;-3.7;1924;162.4;;;;
12:30:00;900;-3.8;871;162.4;;;;
12:45:00;900;-3.7;944;162.4;;;;
13:00:00;900;-3.7;1806;162.4;;;;
13:15:00;900;-3.7;1094;162.4;;;;
13:30:00;900;-3.7;883;162.4;;;;
13:45:00;900;-3.7;774;162.4;;;;
14:00:00;900;-3.8;617;162.4;;;;
14:15:00;900;-3.8;731;162.4;;;;
14:30:00;900;-3.7;679;162.4;;;;
14:45:00;900;-3.8;680;162.4;;;;
15:00:00;900;-3.7;658;162.4;;;;
15:15:00;900;-3.8;589;162.4;;;;
15:30:00;900;-3.8;607;162.4;;;;
15:45:00;900;-3.8;599;162.4;;;;
16:00:00;900;-3.8;557;162.4;;;;
16:15:00;900;-3.7;518;162.4;;;;
16:30:00;900;-3.7;511;162.4;;;;
16:45:00;900;-3.8;503;162.4;;;;
17:00:00;900;-3.8;498;162.4;;;;
17:15:00;900;-3.8;496;162.4;;;;
17:30:00;900;-3.8;496;162.4;;;;
17:45:00;900;-3.8;496;162.4;;;;
18:00:00;900;-3.8;496;162.4;;;;
18:15:00;900;-3.8;496;162.4;;;;
18:30:00;900;-3.8;496;162.4;;;;
18:45:00;900;-3.8;496;162.4;;;;
19:00:00;900;-3.8;496;162.4;;;;
19:15:00;900;-3.8;496;162.4;;;;
19:30:00;900;-3.8;496;162.4;;;;
19:45:00;900;-3.8;496;162.4;;;;
20:00:00;900;-3.8;496;162.4;;;;
20:15:00;900;-3.8;496;162.4;;;;
20:30:00;900;-3.7;495;162.4;;;;
20:45:00;900;-3.7;495;162.4;;;;
21:00:00;900;-3.7;496;162.4;;;;
21:15:00;900;-3.7;495;162.4;;;;
21:30:00;900;-3.8;496;162.4;;;;
21:45:00;900;-3.8;495;162.4;;;;
22:00:00;900;-3.8;496;162.4;;;;
22:15:00;900;-3.8;496;162.4;;;;
22:30:00;900;-3.8;496;162.4;;;;
22:45:00;900;-3.7;495;162.4;;;;
23:00:00;900;-3.7;496;162.4;;;;
23:15:00;900;-3.8;496;162.4;;;;
23:30:00;900;-3.8;496;162.4;;;;
23:45:00;900;-3.8;496;162.4;;;;
24:00:00;900;-3.8;495;162.4;;;;
