;Addr;S_OLD;S_NEW;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR;U_DC_1;I_DC_1;P_DC_1;U_DC_2;I_DC_2;P_DC_2;U_DC_3;I_DC_3;P_DC_3;U_AC_1;I_AC_1;P_AC_1;U_AC_2;I_AC_2;P_AC_2;U_AC_3;I_AC_3;P_AC_3;COS_PHI;;;;
;;;;V;A;W;V;A;W;°C;Wh;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;;;;;
05:51:34;2;1;2;20.5;0.00;0;230.0;0.00;0;17;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:51:38;2;2;1;4.3;0.00;0;230.2;0.00;0;17;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:08:30;3;1;3;301.9;0.00;0;231.2;0.00;0;17;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:10:05;2;1;3;323.4;0.00;0;230.1;0.00;0;17;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:11:00;3;3;1;226.2;0.03;8;231.1;0.03;8;17;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:14:02;3;1;3;317.4;0.00;0;229.2;0.00;0;17;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:14:31;4;1;3;314.1;0.00;0;228.6;0.00;0;17;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:16:48;1;1;3;282.4;0.00;0;229.6;0.00;0;17;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:18:43;3;3;4;199.9;0.46;92;228.4;0.39;89;18;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:19:09;4;3;4;200.0;0.47;93;228.2;0.39;90;17;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:19:13;4;4;3;199.8;0.46;92;227.7;0.39;88;17;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:19:21;4;3;4;200.0;0.46;93;227.8;0.39;89;17;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:19:25;4;4;3;200.0;0.50;100;227.8;0.42;96;17;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:19:44;4;3;4;199.9;0.46;92;227.6;0.39;89;17;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:20:51;2;3;4;199.9;0.46;93;227.3;0.39;89;17;7;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:22:21;1;3;4;210.5;0.44;92;228.7;0.39;89;17;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:22:25;1;4;3;204.1;0.45;93;229.0;0.39;89;17;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:22:55;1;3;4;200.0;0.47;95;229.1;0.40;91;17;6;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:26:10;1;4;3;210.0;0.49;103;228.7;0.43;99;18;11;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:26:25;1;3;4;199.9;0.49;98;228.4;0.41;94;18;11;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:26:43;1;4;3;207.5;0.49;103;228.5;0.43;99;18;12;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:26:53;1;3;4;200.0;0.52;103;228.6;0.43;99;18;12;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:31:27;1;4;3;205.7;0.49;100;228.3;0.42;96;18;2;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:31:35;1;3;4;201.9;0.47;94;228.0;0.40;91;18;3;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:31:39;1;4;3;199.9;0.48;95;227.7;0.40;92;18;3;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:31:47;1;3;4;199.9;0.47;93;228.1;0.39;90;18;3;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:31:59;1;4;3;199.9;0.50;100;228.5;0.42;96;18;3;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:32:39;1;3;4;199.9;0.45;89;227.9;0.38;86;18;4;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:33:02;1;4;3;199.9;0.48;96;228.1;0.41;93;18;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:38:13;1;3;4;201.9;0.45;91;227.7;0.38;88;18;12;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:38:17;1;4;3;208.2;0.47;98;227.5;0.41;94;18;12;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:38:29;1;3;4;199.9;0.51;101;227.2;0.43;97;18;13;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:38:46;1;4;3;204.3;0.49;99;227.1;0.42;95;18;13;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:38:56;1;3;4;199.9;0.48;96;227.3;0.41;92;18;13;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:39:09;4;4;64;280.5;0.56;158;226.0;0.67;152;18;22;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:39:13;4;64;4;277.0;0.57;159;226.0;0.67;152;18;22;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:39:53;4;4;64;282.3;0.60;169;226.3;0.72;162;18;24;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:39:57;4;64;4;293.9;0.55;162;226.0;0.69;155;18;24;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:24:18;4;4;64;280.9;0.61;171;226.1;0.73;165;38;30;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:24:22;4;64;4;266.1;0.62;165;226.0;0.70;158;38;31;;;;;;;;;;;;;;;;;;;;;0;0;0.0
