[info]
Anlage=SENA Bogota
Datum=170626
[messung]
Uhrzeit;Intervall;W_V0;G_M0;T_U0;T_M0;T_M13;T_M14;T_M15
;s;m/s;W/m²;°C;°C;°C;°C;°C
[Start]
00:15:00;900;-8.8;497;162.4;;;;
00:30:00;900;-8.8;497;162.4;;;;
00:45:00;900;-8.8;497;162.4;;;;
01:00:00;900;-8.8;497;162.4;;;;
01:15:00;900;-8.8;497;162.4;;;;
01:30:00;900;-8.8;497;162.4;;;;
01:45:00;900;-8.8;497;162.4;;;;
02:00:00;900;-8.8;497;162.4;;;;
02:15:00;900;-8.8;497;162.4;;;;
02:30:00;900;-8.8;497;162.4;;;;
02:45:00;900;-8.8;497;162.4;;;;
03:00:00;900;-8.8;497;162.4;;;;
03:15:00;900;-8.8;497;162.4;;;;
03:30:00;900;-8.8;497;162.4;;;;
03:45:00;900;-8.8;497;162.4;;;;
04:00:00;900;-8.8;497;162.4;;;;
04:15:00;900;-8.8;497;162.4;;;;
04:30:00;900;-8.8;497;162.4;;;;
04:45:00;900;-8.8;497;162.4;;;;
05:00:00;900;-8.8;497;162.4;;;;
05:15:00;900;-8.8;497;162.4;;;;
05:30:00;900;-8.8;497;162.4;;;;
05:45:00;900;-8.8;497;162.4;;;;
06:00:00;900;-8.8;498;162.4;;;;
06:15:00;900;-8.8;507;162.4;;;;
06:30:00;900;-8.8;522;162.4;;;;
06:45:00;900;-8.8;537;162.4;;;;
07:00:00;900;-8.8;554;162.4;;;;
07:15:00;900;-8.8;600;162.4;;;;
07:30:00;900;-8.8;806;162.4;;;;
07:45:00;900;-8.8;912;162.4;;;;
08:00:00;900;-8.8;1098;162.4;;;;
08:15:00;900;-8.8;958;162.4;;;;
08:30:00;900;-8.8;993;162.4;;;;
08:45:00;900;-8.8;1221;162.4;;;;
09:00:00;900;-8.8;1511;162.4;;;;
09:15:00;900;-8.8;1483;162.4;;;;
09:30:00;900;-8.8;1655;162.4;;;;
09:45:00;900;-8.8;1153;162.4;;;;
10:00:00;900;-8.8;1425;162.4;;;;
10:15:00;900;-8.8;2102;162.4;;;;
10:30:00;900;-8.8;1695;162.4;;;;
10:45:00;900;-8.8;1225;162.4;;;;
11:00:00;900;-8.7;1196;162.4;;;;
11:15:00;900;-8.7;1132;162.4;;;;
11:30:00;900;-8.7;1022;162.4;;;;
11:45:00;900;-8.7;957;162.4;;;;
12:00:00;900;-8.7;932;162.4;;;;
12:15:00;900;-8.8;984;162.4;;;;
12:30:00;900;-8.8;977;162.4;;;;
12:45:00;900;-8.8;984;162.4;;;;
13:00:00;900;-8.8;1025;162.4;;;;
13:15:00;900;-8.8;1161;162.4;;;;
13:30:00;900;-8.8;1104;162.4;;;;
13:45:00;900;-8.8;1028;162.4;;;;
14:00:00;900;-8.8;938;162.4;;;;
14:15:00;900;-8.8;804;162.4;;;;
14:30:00;900;-8.8;1030;162.4;;;;
14:45:00;900;-8.8;1498;162.4;;;;
15:00:00;900;-8.8;1153;162.4;;;;
15:15:00;900;-8.8;1572;162.4;;;;
15:30:00;900;-8.8;1411;162.4;;;;
15:45:00;900;-8.8;1031;162.4;;;;
16:00:00;900;-8.8;874;162.4;;;;
16:15:00;900;-8.8;828;162.4;;;;
16:30:00;900;-8.7;951;162.4;;;;
16:45:00;900;-8.8;958;162.4;;;;
17:00:00;900;-8.8;765;162.4;;;;
17:15:00;900;-8.8;850;162.4;;;;
17:30:00;900;-8.8;698;162.4;;;;
17:45:00;900;-8.8;605;162.4;;;;
18:00:00;900;-8.8;547;162.4;;;;
18:15:00;900;-8.8;507;162.4;;;;
18:30:00;900;-8.8;498;162.4;;;;
18:45:00;900;-8.8;498;162.4;;;;
19:00:00;900;-8.8;498;162.4;;;;
19:15:00;900;-8.8;498;162.4;;;;
19:30:00;900;-8.8;497;162.4;;;;
19:45:00;900;-8.8;497;162.4;;;;
20:00:00;900;-8.8;497;162.4;;;;
20:15:00;900;-8.8;497;162.4;;;;
20:30:00;900;-8.8;497;162.4;;;;
20:45:00;900;-8.8;497;162.4;;;;
21:00:00;900;-8.8;497;162.4;;;;
21:15:00;900;-8.8;497;162.4;;;;
21:30:00;900;-8.8;497;162.4;;;;
21:45:00;900;-8.8;497;162.4;;;;
22:00:00;900;-8.8;497;162.4;;;;
22:15:00;900;-8.8;497;162.4;;;;
22:30:00;900;-8.8;497;162.4;;;;
22:45:00;900;-8.8;497;162.4;;;;
23:00:00;900;-8.8;497;162.4;;;;
23:15:00;900;-8.8;497;162.4;;;;
23:30:00;900;-8.8;497;162.4;;;;
23:45:00;900;-8.8;497;162.4;;;;
24:00:00;900;-8.8;497;162.4;;;;
