;Addr;S_OLD;S_NEW;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR;U_DC_1;I_DC_1;P_DC_1;U_DC_2;I_DC_2;P_DC_2;U_DC_3;I_DC_3;P_DC_3;U_AC_1;I_AC_1;P_AC_1;U_AC_2;I_AC_2;P_AC_2;U_AC_3;I_AC_3;P_AC_3;COS_PHI;;;;
;;;;V;A;W;V;A;W;°C;Wh;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;;;;;
05:45:57;4;1;3;240.6;0.00;0;219.3;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:46:37;3;1;3;301.8;0.00;0;218.9;0.00;0;17;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:48:55;2;1;3;295.8;0.00;0;218.1;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:53:26;1;1;3;302.5;0.00;0;218.9;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:03:50;1;3;1;229.8;0.01;2;218.5;0.01;2;17;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:06:48;1;1;3;318.5;0.00;0;218.1;0.00;0;17;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:08:09;4;3;4;223.0;0.39;87;218.2;0.38;83;18;6;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:08:14;3;3;4;199.9;0.43;86;218.2;0.38;82;18;7;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:09:53;1;3;4;204.1;0.44;89;217.7;0.39;86;17;3;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:14:23;1;4;3;206.7;0.49;101;217.2;0.44;97;17;11;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:19:10;4;4;64;280.7;0.55;156;218.1;0.68;149;19;10;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:19:14;4;64;4;267.6;0.56;150;218.2;0.66;145;19;10;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:19:15;1;3;4;200.0;0.45;91;219.2;0.40;87;18;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:19:19;1;4;3;200.0;0.44;89;218.8;0.39;86;18;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:20:04;1;3;4;200.0;0.44;89;219.1;0.39;85;18;6;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:24:12;1;4;3;221.0;0.52;115;218.5;0.51;111;18;13;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:24:16;1;3;4;228.9;0.48;109;218.6;0.48;105;18;14;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:28:59;4;4;64;266.4;0.66;175;217.3;0.77;168;19;35;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:29:03;4;64;4;273.0;0.63;171;217.3;0.75;164;19;35;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:32:21;1;4;3;220.7;0.45;99;218.0;0.43;95;18;4;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:34:36;2;4;3;285.9;0.34;97;215.7;0.43;93;19;9;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:35:13;4;4;3;263.0;0.41;107;217.0;0.47;103;20;12;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:35:19;4;3;4;280.7;0.32;89;216.7;0.39;86;20;12;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:35:23;4;4;3;251.2;0.41;103;217.0;0.46;99;20;12;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:37:14;3;4;3;261.5;0.41;106;217.2;0.47;102;20;16;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:37:20;3;3;4;282.5;0.37;105;216.9;0.46;101;20;16;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:43:15;4;3;4;204.0;0.49;100;217.8;0.44;96;20;22;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:43:42;2;3;4;209.5;0.41;86;216.5;0.38;83;20;19;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:43:48;2;4;3;209.4;0.42;89;216.8;0.39;86;20;19;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:44:30;1;3;4;200.0;0.47;94;218.0;0.41;90;19;16;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:44:44;2;3;4;199.9;0.47;94;216.7;0.42;91;20;21;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:34:39;1;4;64;224.8;0.77;174;222.6;0.75;167;38;14;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:34:43;1;64;4;216.6;0.79;171;222.9;0.74;165;38;14;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:35:07;1;4;64;220.7;0.76;169;222.8;0.73;162;38;15;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:35:11;1;64;4;228.7;0.70;159;222.6;0.69;153;38;15;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:42:07;1;4;3;220.7;0.45;99;222.9;0.43;95;37;28;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:42:19;1;3;4;202.0;0.45;92;223.1;0.40;88;37;29;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:42:23;1;4;3;204.3;0.47;95;222.8;0.41;92;37;29;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:42:26;4;4;64;269.3;0.53;142;222.5;0.61;137;39;41;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:42:30;4;64;4;250.7;0.55;139;222.1;0.60;134;39;41;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:44:59;3;4;3;271.8;0.44;120;223.6;0.51;115;38;52;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:45:03;3;3;4;243.8;0.47;115;223.2;0.49;110;38;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:45:11;2;4;3;279.8;0.36;101;221.3;0.44;97;39;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:45:15;2;3;4;279.7;0.34;96;221.4;0.42;92;39;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:45:17;4;4;3;260.3;0.37;97;222.9;0.42;93;39;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:45:24;2;4;3;267.0;0.36;96;221.5;0.42;93;39;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:46:38;3;4;3;281.4;0.35;100;223.5;0.43;96;38;2;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:59:01;1;3;1;200.0;0.00;0;224.0;0.00;0;35;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:00:11;2;3;1;200.0;0.01;3;221.9;0.01;3;37;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:02:03;1;1;3;271.0;0.00;0;222.5;0.00;0;35;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:03:11;2;1;3;314.6;0.00;0;220.3;0.00;0;37;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:03:36;1;3;1;179.5;0.00;0;223.1;0.00;0;35;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:03:56;4;3;1;200.2;0.00;0;221.8;0.00;0;37;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:04:08;3;3;1;199.8;0.00;0;222.8;0.00;0;37;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:07:00;4;1;3;277.2;0.00;0;221.1;0.00;0;37;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:07:12;3;1;3;286.0;0.00;0;221.7;0.00;0;36;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:09:34;4;3;1;199.9;0.00;0;221.8;0.00;0;36;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:09:43;3;3;1;213.9;0.00;0;222.1;0.00;0;36;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:10:28;2;3;1;198.4;0.00;0;219.8;0.00;0;36;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
