;Addr;S_OLD;S_NEW;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR;U_DC_1;I_DC_1;P_DC_1;U_DC_2;I_DC_2;P_DC_2;U_DC_3;I_DC_3;P_DC_3;U_AC_1;I_AC_1;P_AC_1;U_AC_2;I_AC_2;P_AC_2;U_AC_3;I_AC_3;P_AC_3;COS_PHI;;;;
;;;;V;A;W;V;A;W;°C;Wh;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;;;;;
04:53:42;2;0;1;0.0;0.00;0;0.0;0.00;0;0;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:21:23;4;1;3;245.6;0.00;0;223.3;0.00;0;14;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:22:19;3;1;3;310.6;0.00;0;222.8;0.00;0;14;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:23:51;2;1;3;332.2;0.00;0;222.1;0.00;0;14;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:24:23;1;1;3;294.6;0.00;0;224.6;0.00;0;14;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:26:53;1;3;1;225.0;0.01;2;223.9;0.01;2;14;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:29:58;1;1;3;322.8;0.00;0;224.7;0.00;0;14;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:41:44;1;3;4;200.0;0.46;92;224.3;0.39;88;14;9;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:41:48;1;4;3;200.0;0.47;93;224.3;0.40;90;14;9;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:42:43;1;3;4;200.0;0.44;88;224.4;0.38;85;14;11;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:43:47;3;3;4;200.0;0.47;94;222.9;0.40;90;15;15;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:43:53;3;4;3;200.0;0.47;93;223.0;0.40;90;15;15;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:44:26;3;3;4;199.9;0.49;97;223.1;0.42;94;15;16;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:44:27;4;3;4;199.9;0.46;92;223.5;0.39;88;15;15;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:44:37;2;3;4;200.0;0.44;88;223.0;0.38;85;15;15;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:44:55;4;4;64;281.6;0.53;150;223.4;0.64;144;15;16;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:44:59;4;64;4;293.2;0.51;150;223.4;0.64;144;15;16;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:57:29;1;4;64;227.1;0.81;184;224.7;0.78;177;43;73;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:57:33;1;64;4;233.8;0.73;172;224.7;0.73;165;43;73;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:57:53;1;4;64;223.1;0.79;176;224.4;0.75;169;43;74;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:57:58;1;64;4;230.3;0.72;167;224.5;0.71;160;43;74;;;;;;;;;;;;;;;;;;;;;0;0;0.0
14:26:06;1;4;64;242.2;0.75;182;224.5;0.78;175;38;28;;;;;;;;;;;;;;;;;;;;;0;0;0.0
