;Addr;S_OLD;S_NEW;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR;U_DC_1;I_DC_1;P_DC_1;U_DC_2;I_DC_2;P_DC_2;U_DC_3;I_DC_3;P_DC_3;U_AC_1;I_AC_1;P_AC_1;U_AC_2;I_AC_2;P_AC_2;U_AC_3;I_AC_3;P_AC_3;COS_PHI;;;;
;;;;V;A;W;V;A;W;°C;Wh;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;;;;;
05:12:08;3;1;3;95.8;0.00;0;222.6;0.00;0;17;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:13:35;2;1;3;317.6;0.00;0;219.6;0.00;0;17;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:14:38;3;3;1;227.6;0.00;0;221.3;0.00;0;18;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:16:07;2;3;1;238.2;0.00;0;219.4;0.00;0;17;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:16:09;4;1;3;297.9;0.00;0;220.4;0.00;0;17;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:17:40;3;1;3;308.2;0.00;0;221.0;0.00;0;18;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:19:09;2;1;3;329.8;0.00;0;219.1;0.00;0;17;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:21:05;1;1;3;174.0;0.00;0;220.1;0.00;0;17;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:29:18;2;3;4;247.1;0.37;93;218.2;0.41;89;18;8;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:30:13;3;3;4;200.0;0.46;92;220.2;0.40;88;18;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:31:32;4;3;4;202.1;0.45;91;219.2;0.40;87;18;2;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:31:43;4;4;3;208.3;0.47;98;218.9;0.43;94;18;2;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:31:55;4;3;4;200.0;0.44;89;218.9;0.39;85;18;3;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:33:31;1;3;4;200.0;0.44;89;220.2;0.39;86;18;4;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:33:46;1;4;3;242.9;0.39;95;220.0;0.41;91;18;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:33:50;1;3;4;237.7;0.39;94;220.0;0.41;90;18;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:40:13;1;4;64;213.4;0.74;159;220.2;0.69;153;18;18;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:40:17;1;64;4;222.8;0.72;160;220.4;0.70;154;18;18;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:41:49;1;4;64;223.4;0.79;177;219.9;0.77;170;18;22;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:41:53;1;64;4;228.8;0.80;183;219.9;0.80;176;18;22;;;;;;;;;;;;;;;;;;;;;0;0;0.0
15:35:42;2;4;64;289.5;0.67;194;222.4;0.84;186;34;17;;;;;;;;;;;;;;;;;;;;;0;0;0.0
15:35:46;2;64;4;277.7;0.69;191;222.6;0.83;184;34;17;;;;;;;;;;;;;;;;;;;;;0;0;0.0
15:36:34;2;4;64;285.5;0.69;196;222.9;0.84;188;34;19;;;;;;;;;;;;;;;;;;;;;0;0;0.0
15:36:38;2;64;4;285.3;0.67;190;222.4;0.82;183;34;20;;;;;;;;;;;;;;;;;;;;;0;0;0.0
15:38:46;4;4;64;283.0;0.65;186;222.9;0.80;178;34;25;;;;;;;;;;;;;;;;;;;;;0;0;0.0
15:38:50;4;64;4;282.4;0.64;181;223.1;0.78;174;34;25;;;;;;;;;;;;;;;;;;;;;0;0;0.0
15:41:33;3;4;64;280.5;0.71;200;224.3;0.86;192;34;37;;;;;;;;;;;;;;;;;;;;;0;0;0.0
15:41:37;3;64;4;268.8;0.71;191;223.8;0.82;184;34;37;;;;;;;;;;;;;;;;;;;;;0;0;0.0
15:43:37;1;4;3;212.4;0.46;98;224.4;0.42;94;32;27;;;;;;;;;;;;;;;;;;;;;0;0;0.0
15:43:41;1;3;4;204.4;0.45;92;224.2;0.39;89;32;27;;;;;;;;;;;;;;;;;;;;;0;0;0.0
15:43:57;1;4;3;211.1;0.44;94;224.3;0.40;90;32;28;;;;;;;;;;;;;;;;;;;;;0;0;0.0
15:44:01;1;3;4;207.3;0.43;89;224.4;0.38;86;32;28;;;;;;;;;;;;;;;;;;;;;0;0;0.0
15:44:05;1;4;3;209.9;0.42;89;224.9;0.38;85;32;28;;;;;;;;;;;;;;;;;;;;;0;0;0.0
15:44:13;1;3;4;200.0;0.48;95;225.0;0.41;92;32;28;;;;;;;;;;;;;;;;;;;;;0;0;0.0
15:44:17;1;4;3;200.0;0.44;88;224.7;0.38;85;32;28;;;;;;;;;;;;;;;;;;;;;0;0;0.0
15:47:36;4;4;3;270.6;0.35;94;223.7;0.41;91;34;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
15:47:48;4;3;4;249.5;0.39;96;223.1;0.41;93;34;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
15:47:56;4;4;3;269.4;0.34;92;223.4;0.40;89;34;6;;;;;;;;;;;;;;;;;;;;;0;0;0.0
