;Addr;S_OLD;S_NEW;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR;U_DC_1;I_DC_1;P_DC_1;U_DC_2;I_DC_2;P_DC_2;U_DC_3;I_DC_3;P_DC_3;U_AC_1;I_AC_1;P_AC_1;U_AC_2;I_AC_2;P_AC_2;U_AC_3;I_AC_3;P_AC_3;COS_PHI;;;;
;;;;V;A;W;V;A;W;°C;Wh;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;;;;;
05:42:09;3;0;1;0.0;0.00;0;0.0;0.00;0;0;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:43:33;2;0;1;0.0;0.00;0;0.0;0.00;0;0;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:53:13;3;1;2;25.5;0.00;0;222.6;0.00;0;15;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:53:17;3;2;1;7.2;0.00;0;222.6;0.00;0;15;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:11:43;3;1;3;303.3;0.00;0;222.8;0.00;0;15;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:13:16;2;1;3;324.0;0.00;0;222.3;0.00;0;15;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:15:17;1;1;3;282.0;0.00;0;223.9;0.00;0;15;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:15:46;2;3;1;242.8;0.03;8;222.4;0.03;8;15;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:16:47;4;1;3;307.9;0.00;0;223.1;0.00;0;15;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:17:48;1;3;1;215.6;0.00;0;224.7;0.00;0;15;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:18:47;2;1;3;331.3;0.00;0;222.1;0.00;0;15;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:20:52;1;1;3;303.3;0.00;0;223.9;0.00;0;15;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:31:50;3;3;4;200.0;0.45;91;222.4;0.39;87;16;3;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:32:11;4;3;4;199.9;0.44;88;223.0;0.38;85;16;3;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:32:19;4;4;3;199.9;0.48;97;223.3;0.42;93;16;3;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:32:37;4;3;4;199.8;0.45;90;222.6;0.39;86;16;3;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:33:18;2;3;4;200.0;0.47;94;222.1;0.41;91;16;4;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:33:44;1;3;4;200.0;0.46;93;224.3;0.40;89;16;4;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:33:55;1;4;3;200.0;0.47;95;224.3;0.41;91;16;4;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:34:17;1;3;4;200.0;0.44;88;224.0;0.38;85;16;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:34:25;1;4;3;216.1;0.42;90;224.1;0.39;87;16;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:34:35;1;3;4;210.0;0.45;95;224.5;0.41;91;16;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:34:47;1;4;3;203.8;0.45;93;224.3;0.40;89;16;6;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:34:51;1;3;4;200.0;0.46;93;224.1;0.40;89;16;6;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:37:19;3;4;64;284.2;0.65;186;222.4;0.80;178;17;17;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:37:23;3;64;4;273.2;0.67;184;222.5;0.79;177;17;17;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:41:52;4;4;64;264.5;0.64;170;222.8;0.73;163;17;27;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:41:56;4;64;4;263.6;0.63;166;222.9;0.72;159;17;27;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:49:50;1;4;64;220.2;0.80;177;224.1;0.76;170;17;12;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:49:54;1;64;4;205.0;0.85;174;224.3;0.74;167;17;12;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:49:36;1;4;64;235.3;0.76;179;225.0;0.76;172;30;14;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:49:40;1;64;4;216.8;0.83;181;225.4;0.77;174;30;14;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:50:54;1;4;64;199.9;0.80;161;225.6;0.68;154;30;18;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:50:58;1;64;4;217.1;0.74;162;225.9;0.69;156;30;18;;;;;;;;;;;;;;;;;;;;;0;0;0.0
