;Addr;S_OLD;S_NEW;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR;U_DC_1;I_DC_1;P_DC_1;U_DC_2;I_DC_2;P_DC_2;U_DC_3;I_DC_3;P_DC_3;U_AC_1;I_AC_1;P_AC_1;U_AC_2;I_AC_2;P_AC_2;U_AC_3;I_AC_3;P_AC_3;COS_PHI;;;;
;;;;V;A;W;V;A;W;°C;Wh;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;;;;;
05:08:12;2;1;3;329.8;0.00;0;220.3;0.00;0;15;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:10:37;2;3;1;247.0;0.00;0;220.2;0.00;0;15;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:11:07;4;1;3;262.5;0.00;0;220.5;0.00;0;15;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:13:34;4;3;1;230.7;0.00;1;220.0;0.00;1;15;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:13:43;2;1;3;335.3;0.00;0;219.3;0.00;0;15;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:16:01;1;1;3;242.1;0.00;0;220.7;0.00;0;15;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:16:15;2;3;1;251.2;0.02;6;218.9;0.02;6;15;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:16:38;4;1;3;312.6;0.00;0;218.6;0.00;0;15;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:18:34;1;3;1;229.3;0.00;0;220.4;0.00;0;15;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:19:18;2;1;3;339.2;0.00;0;218.7;0.00;0;15;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:21:33;1;1;3;316.2;0.00;0;220.8;0.00;0;15;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:24:05;1;3;1;237.1;0.00;1;220.1;0.00;1;15;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:27:08;1;1;3;327.3;0.00;0;220.0;0.00;0;15;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:29:10;2;3;4;254.5;0.31;80;217.7;0.35;77;16;3;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:29:31;4;3;4;234.4;0.33;77;218.8;0.34;74;16;3;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:29:49;1;3;4;245.6;0.37;91;219.5;0.40;87;15;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
12:11:56;4;1;4;340.7;0.00;0;208.5;0.00;0;39;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
12:11:57;1;1;4;366.9;0.00;0;210.2;0.00;0;38;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:29:56;2;1;41;359.0;0.00;0;195.7;0.00;0;29;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:35:12;2;41;1;362.3;0.00;0;194.2;0.00;0;29;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:40:30;2;1;41;362.6;0.00;0;194.4;0.00;0;29;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:46:52;2;41;1;361.3;0.00;0;193.3;0.00;0;29;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:53:15;2;1;4;360.9;0.00;0;196.8;0.00;0;29;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:54:32;2;4;41;294.8;8.52;2510;195.5;12.33;2410;29;46;;;;;;;;;;;;;;;;;;;;;0;0;0.0
14:04:23;2;41;57;361.8;0.00;0;196.5;0.00;0;29;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
14:09:38;2;57;41;360.6;0.00;0;195.5;0.00;0;29;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
14:18:46;2;41;57;327.0;0.00;0;195.8;0.00;0;29;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
14:24:26;2;57;1;365.4;0.00;0;199.6;0.00;0;28;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
14:24:37;2;1;4;365.2;0.00;0;198.9;0.00;0;28;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
14:26:05;2;4;57;301.0;6.75;2030;196.0;9.94;1949;28;41;;;;;;;;;;;;;;;;;;;;;0;0;0.0
15:43:05;4;1;3;335.8;0.00;0;222.4;0.00;0;26;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
15:43:06;1;1;3;350.9;0.00;0;223.3;0.00;0;26;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
15:43:07;2;1;3;352.6;0.00;0;221.7;0.00;0;23;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
15:43:11;4;3;4;334.9;0.02;8;222.8;0.03;8;26;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
15:43:12;1;3;4;350.0;0.00;2;223.6;0.01;2;26;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
15:43:13;2;3;4;350.5;0.21;74;222.2;0.32;72;23;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:08:08;1;4;64;245.7;0.68;168;223.9;0.72;161;26;28;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:08:14;1;64;4;239.3;0.70;167;223.8;0.71;160;26;28;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:08:52;1;4;64;243.4;0.68;167;223.9;0.71;160;26;30;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:08:58;1;64;4;222.4;0.74;165;223.5;0.71;159;26;30;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:12:21;4;4;64;275.4;0.61;168;223.0;0.72;161;27;45;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:12:27;4;64;4;274.9;0.60;166;223.3;0.71;160;27;46;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:14:23;1;4;3;209.6;0.51;106;223.8;0.45;102;26;43;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:14:28;4;4;3;280.5;0.33;92;222.4;0.40;89;27;51;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:14:32;2;4;3;289.5;0.37;107;222.4;0.46;103;25;56;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:15:31;2;3;4;199.9;0.45;90;222.5;0.39;86;25;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:15:37;2;4;3;199.9;0.46;92;222.5;0.39;88;25;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:15:42;1;3;4;199.9;0.43;87;223.7;0.37;83;26;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:15:49;1;4;3;200.0;0.46;92;224.2;0.39;88;26;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:35:52;1;3;1;200.0;0.00;0;222.0;0.00;0;26;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:35:59;2;3;1;200.1;0.00;0;221.6;0.00;0;25;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:36:56;4;3;1;199.6;0.00;0;222.0;0.00;0;27;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:38:51;1;1;3;282.6;0.00;0;222.5;0.00;0;26;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:39:05;2;1;3;316.7;0.00;0;221.1;0.00;0;25;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:39:59;4;1;3;297.7;0.00;0;221.6;0.00;0;27;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:41:23;1;3;1;208.0;0.00;0;223.0;0.00;0;26;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:41:30;2;3;1;237.6;0.00;0;221.7;0.00;0;25;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:42:33;4;3;1;223.3;0.00;0;221.4;0.00;0;27;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:44:36;2;1;3;311.5;0.00;0;221.2;0.00;0;25;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:45:36;4;1;3;290.6;0.00;0;222.0;0.00;0;27;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:47:08;2;3;1;233.6;0.00;0;221.4;0.00;0;25;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:48:09;4;3;1;217.9;0.00;0;221.7;0.00;0;27;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:50:11;2;1;3;300.3;0.00;0;221.2;0.00;0;25;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:51:08;4;1;3;276.5;0.00;0;221.9;0.00;0;27;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:51:52;4;3;1;188.5;0.00;0;222.0;0.00;0;27;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:52:00;2;3;1;175.2;0.00;0;221.5;0.00;0;25;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:02:55;1;1;2;80.1;0.00;0;223.1;0.00;0;26;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:08:53;4;1;2;80.4;0.00;0;221.9;0.00;0;27;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:12:01;2;1;2;82.2;0.00;0;220.7;0.00;0;25;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
