;Addr;S_OLD;S_NEW;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR;U_DC_1;I_DC_1;P_DC_1;U_DC_2;I_DC_2;P_DC_2;U_DC_3;I_DC_3;P_DC_3;U_AC_1;I_AC_1;P_AC_1;U_AC_2;I_AC_2;P_AC_2;U_AC_3;I_AC_3;P_AC_3;COS_PHI;;;;
;;;;V;A;W;V;A;W;°C;Wh;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;;;;;
06:09:57;4;1;3;248.4;0.00;0;226.2;0.00;0;17;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:11:38;3;1;3;291.4;0.00;0;227.4;0.00;0;17;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:12:27;4;3;1;223.7;0.00;1;226.9;0.00;1;17;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:13:19;2;1;3;311.7;0.00;0;226.7;0.00;0;17;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:14:34;1;1;3;200.6;0.00;0;227.8;0.00;0;17;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:15:31;4;1;3;319.3;0.00;0;227.6;0.00;0;17;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:23:56;3;3;4;199.9;0.48;95;227.9;0.40;92;18;10;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:24:00;3;4;3;199.9;0.47;95;227.8;0.40;91;18;10;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:24:10;3;3;4;199.9;0.49;99;228.0;0.42;95;18;10;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:24:11;4;3;4;200.0;0.46;92;227.5;0.39;89;17;8;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:25:02;2;3;4;200.0;0.47;94;227.7;0.40;90;17;10;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:27:33;2;4;3;288.6;0.37;107;227.3;0.45;103;17;16;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:27:40;2;3;4;290.0;0.37;109;227.5;0.46;104;17;16;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:28:01;3;4;3;282.2;0.40;114;228.1;0.48;110;18;19;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:28:07;3;3;4;281.5;0.42;119;227.9;0.50;115;18;19;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:28:10;2;4;3;283.5;0.35;100;227.5;0.42;96;17;17;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:28:12;4;4;3;287.4;0.35;100;228.1;0.42;96;17;16;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:28:17;4;3;4;268.6;0.39;104;227.8;0.44;100;17;16;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:28:30;3;4;3;281.7;0.39;111;227.6;0.47;106;18;19;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:28:31;4;4;3;277.0;0.35;99;227.9;0.42;95;17;16;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:28:34;3;3;4;292.3;0.38;111;227.6;0.47;106;18;20;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:28:35;4;3;4;258.5;0.37;95;226.9;0.40;92;17;17;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:28:44;4;4;3;248.5;0.37;92;227.2;0.39;89;17;17;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:29:18;3;4;3;286.4;0.38;109;227.4;0.46;105;18;21;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:29:27;3;3;4;278.0;0.40;112;227.5;0.47;107;18;21;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:29:37;3;4;3;276.7;0.39;108;227.4;0.46;104;18;21;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:29:41;3;3;4;276.2;0.41;112;227.5;0.47;108;18;22;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:29:56;3;4;3;278.8;0.39;108;227.7;0.45;104;18;22;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:30:05;3;3;4;285.6;0.39;110;228.1;0.46;106;18;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:30:13;3;4;3;285.0;0.37;107;227.4;0.45;103;18;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:30:20;3;3;4;276.5;0.37;102;227.9;0.43;98;18;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:30:37;3;4;3;272.9;0.36;99;227.7;0.42;95;18;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:30:51;3;3;4;287.1;0.35;101;227.5;0.42;97;18;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:31:14;3;4;3;280.6;0.37;104;227.8;0.44;100;18;2;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:31:18;3;3;4;287.4;0.37;107;227.5;0.45;103;18;2;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:31:32;3;4;3;288.1;0.37;106;227.5;0.45;102;18;3;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:31:39;3;3;4;276.4;0.40;109;227.4;0.46;105;18;3;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:31:51;3;4;3;276.7;0.39;107;228.0;0.45;103;18;3;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:31:57;3;3;4;268.5;0.41;110;228.0;0.46;105;18;3;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:32:10;3;4;3;277.3;0.40;110;227.5;0.46;106;18;4;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:32:14;3;3;4;275.4;0.39;109;227.6;0.46;104;18;4;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:32:32;3;4;3;278.3;0.37;103;228.2;0.43;99;18;4;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:32:40;3;3;4;289.7;0.34;99;227.8;0.42;95;18;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:32:52;3;4;3;287.1;0.34;99;227.7;0.42;95;18;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:36:35;3;3;4;199.9;0.46;93;227.6;0.39;89;18;9;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:36:56;4;3;4;200.0;0.46;92;226.9;0.39;89;18;7;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:37:56;2;3;4;200.0;0.48;96;226.9;0.41;92;18;9;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:40:12;1;3;4;199.9;0.49;99;228.1;0.42;95;18;10;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:40:26;1;4;3;199.9;0.49;98;228.7;0.41;94;18;10;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:40:31;1;3;4;199.9;0.49;97;228.4;0.41;94;18;10;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:40:39;1;4;3;216.7;0.47;102;228.1;0.43;98;18;10;;;;;;;;;;;;;;;;;;;;;0;0;0.0
