;Addr;S_OLD;S_NEW;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR;U_DC_1;I_DC_1;P_DC_1;U_DC_2;I_DC_2;P_DC_2;U_DC_3;I_DC_3;P_DC_3;U_AC_1;I_AC_1;P_AC_1;U_AC_2;I_AC_2;P_AC_2;U_AC_3;I_AC_3;P_AC_3;COS_PHI;;;;
;;;;V;A;W;V;A;W;°C;Wh;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;;;;;
05:54:27;4;1;3;148.5;0.00;0;221.2;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:57:08;3;1;3;310.8;0.00;0;222.0;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:58:30;2;1;3;316.0;0.00;0;220.8;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:00:18;1;1;3;177.7;0.00;0;222.0;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:02:47;1;3;1;226.8;0.00;0;221.8;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:05:50;1;1;3;323.2;0.00;0;221.4;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:08:17;3;3;4;200.0;0.47;94;220.8;0.41;91;17;8;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:09:17;4;3;4;200.0;0.46;92;219.8;0.40;89;17;8;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:10:24;2;3;4;199.9;0.47;94;218.6;0.41;90;17;10;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:13:21;4;4;64;276.7;0.57;157;219.7;0.69;151;17;18;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:13:25;4;64;4;274.7;0.57;157;220.1;0.69;151;17;18;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:14:03;4;4;64;283.3;0.57;162;218.9;0.71;156;17;20;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:14:07;4;64;4;270.0;0.59;161;219.3;0.70;154;17;20;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:14:17;1;3;4;221.6;0.42;93;219.9;0.40;89;17;8;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:14:25;1;4;3;206.2;0.46;94;220.1;0.41;91;17;8;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:14:35;1;3;4;200.0;0.47;94;220.5;0.41;91;17;8;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:15:39;4;4;64;271.1;0.63;170;219.3;0.74;163;17;2;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:15:46;4;64;4;270.8;0.62;169;219.4;0.74;162;17;2;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:16:04;4;4;64;269.5;0.63;169;219.3;0.74;163;17;3;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:16:08;4;64;4;282.5;0.61;173;218.8;0.76;166;17;3;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:16:30;4;4;64;283.7;0.62;176;219.2;0.77;169;17;4;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:16:34;4;64;4;294.7;0.58;173;218.7;0.76;166;17;4;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:18:04;2;4;64;299.8;0.63;190;218.2;0.83;183;17;9;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:18:08;2;64;4;311.5;0.61;191;218.2;0.84;184;17;9;;;;;;;;;;;;;;;;;;;;;0;0;0.0
10:26:02;1;4;64;238.3;0.69;166;213.5;0.74;159;32;41;;;;;;;;;;;;;;;;;;;;;0;0;0.0
10:26:06;1;64;4;218.6;0.75;165;213.5;0.74;159;32;41;;;;;;;;;;;;;;;;;;;;;0;0;0.0
12:45:36;4;4;64;281.2;0.57;160;216.6;0.71;154;35;2;;;;;;;;;;;;;;;;;;;;;0;0;0.0
12:45:40;4;64;4;272.6;0.56;153;216.1;0.68;147;35;2;;;;;;;;;;;;;;;;;;;;;0;0;0.0
12:46:29;1;4;3;206.7;0.45;94;216.9;0.41;90;33;3;;;;;;;;;;;;;;;;;;;;;0;0;0.0
12:47:12;4;4;3;265.3;0.36;96;216.0;0.43;92;35;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
12:47:16;4;3;4;279.3;0.33;93;215.8;0.41;89;35;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
12:47:20;4;4;3;272.6;0.34;94;215.8;0.42;90;35;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
12:47:28;2;4;3;277.1;0.35;98;215.1;0.44;94;34;6;;;;;;;;;;;;;;;;;;;;;0;0;0.0
12:47:29;3;4;3;256.3;0.40;102;215.9;0.45;98;34;6;;;;;;;;;;;;;;;;;;;;;0;0;0.0
12:52:45;1;3;1;199.9;0.00;0;217.0;0.00;0;32;6;;;;;;;;;;;;;;;;;;;;;0;0;0.0
12:53:33;2;3;1;199.8;0.00;0;214.0;0.00;0;34;8;;;;;;;;;;;;;;;;;;;;;0;0;0.0
12:55:48;1;1;3;298.4;0.00;0;216.8;0.00;0;31;6;;;;;;;;;;;;;;;;;;;;;0;0;0.0
12:56:33;2;1;3;326.9;0.00;0;214.6;0.00;0;33;8;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:02:26;2;3;4;245.5;0.37;92;215.5;0.41;88;33;3;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:03:07;3;3;4;200.0;0.45;90;216.8;0.40;86;32;3;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:03:29;1;3;4;199.9;0.48;95;217.9;0.42;92;31;4;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:04:10;4;3;4;200.0;0.45;91;217.1;0.40;88;33;4;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:05:26;4;4;64;280.4;0.55;154;216.7;0.68;147;33;7;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:05:30;4;64;4;280.1;0.54;152;216.8;0.67;146;33;7;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:12:06;4;4;64;279.1;0.55;154;216.9;0.68;148;32;23;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:12:10;4;64;4;267.7;0.58;156;216.7;0.69;150;32;23;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:19:24;3;4;64;278.7;0.67;186;215.7;0.83;179;31;17;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:19:28;3;64;4;278.5;0.67;186;215.4;0.83;179;31;17;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:19:29;4;4;64;267.4;0.61;164;216.6;0.73;157;32;16;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:19:34;4;64;4;267.2;0.60;161;216.5;0.72;155;32;16;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:28:32;4;4;64;277.6;0.59;164;220.5;0.71;157;30;47;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:28:36;4;64;4;265.9;0.60;160;220.5;0.69;153;30;47;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:28:37;1;4;3;209.6;0.47;98;221.7;0.42;94;28;32;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:28:41;1;3;4;199.9;0.48;96;221.7;0.42;92;28;32;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:29:13;1;4;3;204.3;0.45;93;222.1;0.40;89;28;33;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:34:03;4;4;3;284.9;0.34;99;220.6;0.43;95;30;8;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:34:57;2;4;3;286.2;0.33;95;220.0;0.42;91;30;9;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:35:05;2;3;4;267.9;0.34;91;220.0;0.40;88;30;9;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:35:09;2;4;3;276.6;0.34;95;219.8;0.41;91;30;10;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:35:14;3;4;3;264.5;0.39;104;220.9;0.45;100;29;11;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:35:18;3;3;4;252.5;0.38;95;220.9;0.41;91;29;11;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:35:56;3;4;3;269.4;0.35;96;220.8;0.42;92;29;12;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:43:20;1;3;1;200.0;0.00;0;222.2;0.00;0;28;8;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:46:24;1;1;3;291.1;0.00;0;221.7;0.00;0;28;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:49:06;1;3;1;204.2;0.00;0;223.0;0.00;0;28;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:49:38;2;3;1;207.2;0.00;0;220.4;0.00;0;29;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:50:57;3;3;1;199.9;0.01;2;221.0;0.01;2;29;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:51:08;4;3;1;217.1;0.00;0;221.2;0.00;0;29;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:52:01;1;1;3;263.6;0.00;0;222.9;0.00;0;27;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:52:05;1;3;1;175.5;0.00;0;222.8;0.00;0;27;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:52:38;2;1;3;317.9;0.00;0;219.7;0.00;0;29;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:54:07;3;1;3;299.7;0.00;0;221.7;0.00;0;29;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:54:18;4;1;3;293.6;0.00;0;221.5;0.00;0;29;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:55:08;2;3;1;239.0;0.00;0;219.2;0.00;0;29;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:56:43;4;3;1;220.2;0.00;0;221.8;0.00;0;29;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:58:11;1;1;3;107.3;0.00;0;222.8;0.00;0;27;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:58:12;2;1;3;305.4;0.00;0;220.0;0.00;0;29;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:58:15;1;3;1;111.5;0.00;0;222.7;0.00;0;27;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
