[info]
Anlage=SENA Bogota
Datum=180224
[messung]
;s;Adresse;KPC;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR;U_DC_1;I_DC_1;P_DC_1;U_DC_2;I_DC_2;P_DC_2;U_DC_3;I_DC_3;P_DC_3;U_AC_1;I_AC_1;P_AC_1;U_AC_2;I_AC_2;P_AC_2;U_AC_3;I_AC_3;P_AC_3;COS_PHI;;;;
;s;;%;V;A;W;V;A;W;°C;Wh;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;;;;;
[Start]
04:30:00;900;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:30:00;900;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:30:00;900;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:30:00;900;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:45:00;900;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:45:00;900;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:45:00;900;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04:45:00;900;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:00:00;900;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:00:00;900;2;100;99.2;0.00;0;193.1;0.00;0;13;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:00:00;900;3;100;131.1;0.00;0;223.3;0.00;0;15;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:00:00;900;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05:15:00;900;1;100;150.8;0.00;0;220.4;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:15:00;900;2;100;249.4;0.00;0;220.1;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:15:00;900;3;100;253.2;0.00;0;222.3;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:15:00;900;4;100;230.6;0.00;0;221.4;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:30:00;900;1;100;257.6;0.00;0;220.6;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:30:00;900;2;100;286.1;0.05;14;218.2;0.06;13;16;3;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:30:00;900;3;100;262.6;0.09;20;220.3;0.09;19;16;4;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:30:00;900;4;100;277.4;0.04;9;219.6;0.04;9;16;2;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:45:00;900;1;100;263.0;0.00;0;219.8;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:45:00;900;2;100;257.0;0.11;29;217.7;0.13;28;17;7;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:45:00;900;3;100;232.8;0.15;34;219.3;0.15;33;17;10;;;;;;;;;;;;;;;;;;;;;0;0;0.0
05:45:00;900;4;100;234.9;0.11;27;218.8;0.12;26;17;6;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:00:00;900;1;100;246.4;0.00;0;218.9;0.00;0;17;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:00:00;900;2;100;289.5;0.02;4;216.7;0.02;4;17;2;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:00:00;900;3;100;232.8;0.06;13;218.4;0.06;13;18;4;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:00:00;900;4;100;243.9;0.03;6;218.0;0.03;6;17;2;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:15:00;900;1;100;238.3;0.21;50;217.9;0.22;48;17;11;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:15:00;900;2;100;259.7;0.40;106;215.8;0.47;102;18;23;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:15:00;900;3;100;257.0;0.48;125;217.1;0.55;120;19;28;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:15:00;900;4;100;252.8;0.41;104;217.0;0.46;100;18;23;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:30:00;900;1;100;211.6;0.45;96;218.3;0.42;92;18;22;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:30:00;900;2;100;288.5;0.53;153;215.8;0.68;147;19;36;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:30:00;900;3;100;275.2;0.61;169;217.1;0.75;163;20;40;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:30:00;900;4;100;274.2;0.55;150;217.3;0.66;144;19;36;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:45:00;900;1;100;230.4;0.75;173;217.8;0.76;166;19;41;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:45:00;900;2;100;295.1;0.84;250;215.4;1.11;240;20;60;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:45:00;900;3;100;279.2;0.96;268;216.8;1.18;257;20;64;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:45:00;900;4;100;282.2;0.88;249;216.8;1.10;239;20;59;;;;;;;;;;;;;;;;;;;;;0;0;0.0
07:00:00;900;1;100;214.3;0.43;99;218.0;0.43;95;19;19;;;;;;;;;;;;;;;;;;;;;0;0;0.0
07:00:00;900;2;100;264.4;0.63;181;215.5;0.80;174;21;29;;;;;;;;;;;;;;;;;;;;;0;0;0.0
07:00:00;900;3;100;251.3;0.68;185;216.9;0.82;178;21;33;;;;;;;;;;;;;;;;;;;;;0;0;0.0
07:00:00;900;4;100;242.7;0.57;153;216.9;0.67;147;21;29;;;;;;;;;;;;;;;;;;;;;0;0;0.0
07:15:00;900;1;100;245.1;0.00;0;217.6;0.00;0;20;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
07:15:00;900;2;100;253.0;0.02;4;214.7;0.02;4;21;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
07:15:00;900;3;100;228.8;0.04;9;216.4;0.04;8;22;2;;;;;;;;;;;;;;;;;;;;;0;0;0.0
07:15:00;900;4;100;228.1;0.02;4;216.6;0.02;4;21;1;;;;;;;;;;;;;;;;;;;;;0;0;0.0
07:30:00;900;1;100;257.3;0.00;0;219.5;0.00;0;20;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
07:30:00;900;2;100;256.6;0.06;15;216.2;0.06;14;21;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
07:30:00;900;3;100;226.3;0.11;26;217.4;0.11;25;22;7;;;;;;;;;;;;;;;;;;;;;0;0;0.0
07:30:00;900;4;100;222.0;0.05;10;218.6;0.04;10;22;4;;;;;;;;;;;;;;;;;;;;;0;0;0.0
07:45:00;900;1;100;232.5;0.60;142;219.2;0.62;136;20;29;;;;;;;;;;;;;;;;;;;;;0;0;0.0
07:45:00;900;2;100;273.3;0.68;197;216.3;0.87;189;22;41;;;;;;;;;;;;;;;;;;;;;0;0;0.0
07:45:00;900;3;100;260.6;0.75;204;217.5;0.90;196;22;45;;;;;;;;;;;;;;;;;;;;;0;0;0.0
07:45:00;900;4;100;258.6;0.69;190;218.1;0.83;182;22;40;;;;;;;;;;;;;;;;;;;;;0;0;0.0
08:00:00;900;1;100;257.6;1.96;506;221.8;2.19;486;21;120;;;;;;;;;;;;;;;;;;;;;0;0;0.0
08:00:00;900;2;100;310.1;1.95;606;218.9;2.66;582;22;145;;;;;;;;;;;;;;;;;;;;;0;0;0.0
08:00:00;900;3;100;290.8;2.16;628;219.6;2.74;603;23;150;;;;;;;;;;;;;;;;;;;;;0;0;0.0
08:00:00;900;4;100;295.0;2.09;617;220.7;2.68;593;23;148;;;;;;;;;;;;;;;;;;;;;0;0;0.0
08:15:00;900;1;100;255.9;1.90;487;222.3;2.10;467;22;117;;;;;;;;;;;;;;;;;;;;;0;0;0.0
08:15:00;900;2;100;306.3;1.90;582;219.2;2.55;559;24;139;;;;;;;;;;;;;;;;;;;;;0;0;0.0
08:15:00;900;3;100;287.6;2.11;608;220.0;2.65;584;24;145;;;;;;;;;;;;;;;;;;;;;0;0;0.0
08:15:00;900;4;100;292.8;2.03;593;221.2;2.57;570;24;141;;;;;;;;;;;;;;;;;;;;;0;0;0.0
08:30:00;900;1;100;264.5;2.96;781;222.7;3.37;750;23;187;;;;;;;;;;;;;;;;;;;;;0;0;0.0
08:30:00;900;2;100;307.5;2.90;892;219.6;3.90;856;25;212;;;;;;;;;;;;;;;;;;;;;0;0;0.0
