;Addr;S_OLD;S_NEW;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR;U_DC_1;I_DC_1;P_DC_1;U_DC_2;I_DC_2;P_DC_2;U_DC_3;I_DC_3;P_DC_3;U_AC_1;I_AC_1;P_AC_1;U_AC_2;I_AC_2;P_AC_2;U_AC_3;I_AC_3;P_AC_3;COS_PHI;;;;
;;;;V;A;W;V;A;W;°C;Wh;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;;;;;
06:00:31;3;1;3;291.2;0.00;0;224.4;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:00:32;4;1;3;307.0;0.00;0;223.5;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:02:14;2;1;3;331.7;0.00;0;222.5;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:04:05;1;1;3;297.8;0.00;0;224.6;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:06:35;1;3;1;223.5;0.00;1;223.7;0.00;1;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:09:36;1;1;3;316.8;0.00;0;223.5;0.00;0;16;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:17:12;3;3;4;199.9;0.46;93;220.5;0.40;89;17;3;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:18:12;4;3;4;199.9;0.45;90;220.3;0.39;86;17;5;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:19:55;2;3;4;200.0;0.46;92;220.0;0.40;88;17;6;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:21:20;4;4;64;282.9;0.53;150;219.9;0.66;145;17;11;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:21:28;4;64;4;272.8;0.53;145;219.9;0.63;140;17;12;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:22:14;1;3;4;204.1;0.45;93;220.8;0.40;89;17;8;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:22:24;1;4;3;204.1;0.45;93;221.0;0.40;89;17;8;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:22:52;1;3;4;200.0;0.50;99;221.3;0.43;95;17;9;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:23:02;1;4;3;200.0;0.50;99;221.2;0.43;95;17;9;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:25:10;3;4;64;284.5;0.66;188;220.7;0.82;181;18;23;;;;;;;;;;;;;;;;;;;;;0;0;0.0
06:25:14;3;64;4;295.6;0.63;186;220.8;0.81;179;18;24;;;;;;;;;;;;;;;;;;;;;0;0;0.0
08:35:13;1;4;64;243.7;0.67;164;218.0;0.72;157;25;13;;;;;;;;;;;;;;;;;;;;;0;0;0.0
08:35:17;1;64;4;234.2;0.71;167;218.6;0.73;160;25;13;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:45:43;1;4;64;216.7;0.80;174;221.7;0.75;167;38;2;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:45:47;1;64;4;228.8;0.73;167;221.5;0.73;161;38;2;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:47:49;1;4;64;214.3;0.81;173;222.2;0.74;166;38;7;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:47:53;1;64;4;201.5;0.83;166;221.8;0.72;160;38;7;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:54:27;1;4;64;234.8;0.71;166;222.3;0.72;159;38;38;;;;;;;;;;;;;;;;;;;;;0;0;0.0
16:54:31;1;64;4;234.7;0.72;170;222.8;0.73;163;38;38;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:01:33;2;4;3;287.2;0.38;109;219.9;0.48;105;38;3;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:01:37;2;3;4;275.3;0.40;110;220.4;0.48;105;38;4;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:01:40;1;4;3;199.9;0.47;95;222.7;0.41;91;37;3;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:01:44;1;3;4;204.0;0.47;96;223.0;0.41;92;37;3;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:07:14;1;4;3;234.2;0.45;105;223.9;0.45;101;36;14;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:07:22;1;3;4;201.9;0.46;94;223.7;0.40;90;36;14;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:07:38;1;4;3;204.2;0.45;92;223.6;0.40;89;36;14;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:08:28;3;4;3;259.5;0.42;109;222.4;0.47;104;38;20;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:08:29;4;4;3;278.9;0.35;99;222.7;0.42;95;38;17;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:08:32;3;3;4;291.0;0.41;119;222.5;0.51;114;38;20;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:08:33;4;3;4;267.8;0.37;99;222.5;0.43;95;38;17;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:08:37;4;4;3;262.1;0.35;93;222.7;0.40;90;38;17;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:08:45;4;3;4;271.4;0.37;100;222.8;0.43;96;38;17;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:08:49;4;4;3;255.2;0.36;93;222.6;0.40;89;38;17;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:09:33;2;4;3;296.3;0.33;98;221.3;0.42;94;38;20;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:09:37;2;3;4;278.7;0.35;99;221.0;0.43;95;38;20;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:09:41;2;4;3;295.7;0.33;97;220.9;0.42;93;38;20;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:10:02;3;4;3;275.1;0.39;107;222.2;0.46;103;37;22;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:10:06;3;3;4;278.3;0.39;109;222.7;0.47;105;37;22;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:10:14;3;4;3;275.7;0.38;104;221.6;0.45;100;37;23;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:28:20;1;3;1;199.9;0.00;0;224.6;0.00;0;35;3;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:30:49;2;1;3;321.2;0.00;0;221.7;0.00;0;36;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:31:27;1;1;3;281.3;0.00;0;223.7;0.00;0;35;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:33:18;2;3;1;241.0;0.00;0;219.5;0.00;0;35;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:33:52;1;3;1;205.9;0.00;0;222.3;0.00;0;34;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:34:25;4;3;1;200.0;0.00;0;221.2;0.00;0;36;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:36:19;3;3;1;199.9;0.00;0;221.9;0.00;0;35;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:36:35;2;1;3;315.2;0.00;0;219.4;0.00;0;35;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:37:10;4;1;3;294.3;0.00;0;221.7;0.00;0;36;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:38:55;2;3;1;236.1;0.00;0;220.2;0.00;0;35;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:39:24;4;3;1;220.5;0.00;0;222.1;0.00;0;35;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:39:27;3;1;3;296.8;0.00;0;221.9;0.00;0;35;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:41:56;2;1;3;304.4;0.00;0;219.8;0.00;0;35;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:41:57;3;3;1;221.8;0.00;0;222.2;0.00;0;35;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:42:27;4;1;3;281.3;0.00;0;221.3;0.00;0;35;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
17:44:17;4;3;1;201.7;0.00;0;221.8;0.00;0;35;0;;;;;;;;;;;;;;;;;;;;;0;0;0.0
