[info]
Anlage=SENA Bogota
Datum=180201
[messung]
Uhrzeit;Intervall;W_V0;G_M0;T_U0;T_M0;T_M13;T_M14;T_M15
;s;m/s;W/m²;°C;°C;°C;°C;°C
[Start]
00:15:00;900;-3.8;496;162.4;;;;
00:30:00;900;-3.8;496;162.4;;;;
00:45:00;900;-3.8;496;162.4;;;;
01:00:00;900;-3.8;496;162.4;;;;
01:15:00;900;-3.8;496;162.4;;;;
01:30:00;900;-3.8;496;162.4;;;;
01:45:00;900;-3.8;496;162.4;;;;
02:00:00;900;-3.8;496;162.4;;;;
02:15:00;900;-3.8;496;162.4;;;;
02:30:00;900;-3.8;496;162.4;;;;
02:45:00;900;-3.8;496;162.4;;;;
03:00:00;900;-3.8;496;162.4;;;;
03:15:00;900;-3.8;496;162.4;;;;
03:30:00;900;-3.8;496;162.4;;;;
03:45:00;900;-3.8;496;162.4;;;;
04:00:00;900;-3.8;496;162.4;;;;
04:15:00;900;-3.8;496;162.4;;;;
04:30:00;900;-3.8;496;162.4;;;;
04:45:00;900;-3.8;496;162.4;;;;
05:00:00;900;-3.8;496;162.4;;;;
05:15:00;900;-3.8;500;162.4;;;;
05:30:00;900;-3.9;510;162.4;;;;
05:45:00;900;-3.9;527;162.4;;;;
06:00:00;900;-3.9;702;162.4;;;;
06:15:00;900;-3.9;859;162.4;;;;
06:30:00;900;-3.9;931;162.4;;;;
06:45:00;900;-3.8;1011;162.4;;;;
07:00:00;900;-3.9;1113;162.4;;;;
07:15:00;900;-3.9;1208;162.4;;;;
07:30:00;900;-3.9;1287;162.4;;;;
07:45:00;900;-3.9;1386;162.4;;;;
08:00:00;900;-3.9;1490;162.4;;;;
08:15:00;900;-3.9;1491;162.4;;;;
08:30:00;900;-3.9;1313;162.4;;;;
08:45:00;900;-3.9;1044;162.4;;;;
09:00:00;900;-3.9;1308;162.4;;;;
09:15:00;900;-3.9;1268;162.4;;;;
09:30:00;900;-3.9;1684;162.4;;;;
09:45:00;900;-3.9;1949;162.4;;;;
10:00:00;900;-3.9;1947;162.4;;;;
10:15:00;900;-3.9;1851;162.4;;;;
10:30:00;900;-3.9;1648;162.4;;;;
10:45:00;900;-3.9;1620;162.4;;;;
11:00:00;900;-3.9;1559;162.4;;;;
11:15:00;900;-3.9;1472;162.4;;;;
11:30:00;900;-3.8;1702;162.4;;;;
11:45:00;900;-3.9;1456;162.4;;;;
12:00:00;900;-3.8;1491;162.4;;;;
Info;Time
12:15:00;675;-3.8;1573;162.4;;;;
12:30:00;900;-3.8;1438;162.4;;;;
12:45:00;900;-3.8;1658;162.4;;;;
13:00:00;900;-3.8;1197;162.4;;;;
13:15:00;900;-3.9;1018;162.4;;;;
13:30:00;900;-3.9;1098;162.4;;;;
13:45:00;900;-3.9;1083;162.4;;;;
14:00:00;900;-3.9;984;162.4;;;;
14:15:00;900;-3.9;995;162.4;;;;
14:30:00;900;-3.9;937;162.4;;;;
14:45:00;900;-3.9;908;162.4;;;;
15:00:00;900;-3.9;861;162.4;;;;
15:15:00;900;-3.9;801;162.4;;;;
15:30:00;900;-3.9;727;162.4;;;;
15:45:00;900;-3.9;691;162.4;;;;
16:00:00;900;-3.9;653;162.4;;;;
16:15:00;900;-3.8;648;162.4;;;;
16:30:00;900;-3.9;602;162.4;;;;
16:45:00;900;-3.9;575;162.4;;;;
17:00:00;900;-3.8;541;162.4;;;;
17:15:00;900;-3.8;509;162.4;;;;
17:30:00;900;-3.8;498;162.4;;;;
17:45:00;900;-3.9;496;162.4;;;;
18:00:00;900;-3.9;496;162.4;;;;
18:15:00;900;-3.9;496;162.4;;;;
18:30:00;900;-3.8;496;162.4;;;;
18:45:00;900;-3.8;496;162.4;;;;
19:00:00;900;-3.8;496;162.4;;;;
19:15:00;900;-3.8;496;162.4;;;;
19:30:00;900;-3.9;496;162.4;;;;
19:45:00;900;-3.8;496;162.4;;;;
20:00:00;900;-3.8;496;162.4;;;;
20:15:00;900;-3.8;496;162.4;;;;
20:30:00;900;-3.9;496;162.4;;;;
20:45:00;900;-3.9;496;162.4;;;;
21:00:00;900;-3.8;496;162.4;;;;
21:15:00;900;-3.8;496;162.4;;;;
21:30:00;900;-3.7;496;162.4;;;;
21:45:00;900;-3.8;496;162.4;;;;
22:00:00;900;-3.8;496;162.4;;;;
22:15:00;900;-3.8;496;162.4;;;;
22:30:00;900;-3.8;496;162.4;;;;
22:45:00;900;-3.8;496;162.4;;;;
23:00:00;900;-3.8;496;162.4;;;;
23:15:00;900;-3.8;496;162.4;;;;
23:30:00;900;-3.8;496;162.4;;;;
23:45:00;900;-3.8;496;162.4;;;;
24:00:00;900;-3.8;496;162.4;;;;
